partner,United Kingdom,France,Belgium,Germany,Greece,Hungary,Austria,Croatia,Ireland,Italy,Netherlands,Denmark,Poland,Czechia,Lithuania,Romania,Bulgaria,Slovakia,Slovenia,Spain,Portugal,Sweden,USA,Canada
Austria,,,,,,25655736.0,,3000980.0,,,,,15619852.0,,,,,,5473514.0,,,,,
Belgium,,36445181.0,,,,,,,,,61316897.0,,2890767.0,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,25213407.0,,,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,139751208.0,
Croatia,,,,,,4882038.0,,,,,,,,,,,,,3681789.0,,,,,
Czechia,,,,,,,,,,,,,71235951.0,,,26816310.0,,69310344.0,,,,,,
Denmark,,,,,,,,,,,71621671.0,,18888228.0,4215112.0,,,,,,,,,,
France,4215238.0,,312577983.0,,,9636927.0,,,,23173075.0,9890277.0,,18112952.0,,,3144829.0,,,,62067489.0,32327635.0,,,
Germany,1303929.0,8443380.0,20706270.0,,,12192509.0,62550137.0,,,5223427.0,1147776373.0,28417114.0,104349497.0,38353109.0,,7462137.0,,4072194.0,,12151080.0,,,,3362673.0
Greece,411343.0,,,,,,,,,,,,,,,,,,,,,,,
Hungary,111785.0,,,,,,26656316.0,11275019.0,,,3934470.0,,40662081.0,16929784.0,3969526.0,66996690.0,12703747.0,7389611.0,5110842.0,,,,,
Ireland,65875915.0,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,3845799.0,,,,,,,,3326531.0,,,9710703.0,,,,,,,,
Lithuania,,,,,,,,,,,,,12230069.0,,,,,,,,,,,
Netherlands,62168572.0,13885832.0,457080768.0,,,,6918178.0,,,6494275.0,,3622481.0,78871696.0,,,,,,,14299847.0,,,,
Poland,,,,,,2772246.0,3352894.0,,,,,,,,9697999.0,,,,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,59352412.0,,,,
Romania,,,,,,87660538.0,,,,,,,,,,,,,,,,,,
Slovakia,,,,,,25706896.0,,,,,,,67112676.0,21390634.0,,3333641.0,,,,,,,,
Slovenia,,,,,,,18020848.0,,,,,,,,,,,,,,,,,
Spain,15130.0,,,,,,,,,,,,,,,,,,,,64546684.0,,,
Sweden,,,,,,,,,,,7437636.0,18106340.0,4132452.0,,,,,,,,,,,
USA,14229574.0,,,,,,,,,,,,,,,,,,,,,,,142997549.0
United Kingdom,,27401652.0,,,9412604.0,11421026.0,,,20517402.0,10621079.0,49084626.0,11693075.0,20426228.0,,,,,,,21368290.0,,12593654.0,,
