period,partner,United Kingdom,France,Belgium,Germany,Austria,Czechia,Denmark,Greece,Hungary,Ireland,Netherlands,Poland,Lithuania,Romania,Bulgaria,Italy,Slovakia,Slovenia,Spain,Portugal,Sweden,USA,Canada
201401,Greece,11842.0,,,,,,,,,,,,,,,,,,,,,,
201401,Ireland,776670.0,,,,,,,,,,,,,,,,,,,,,,
201401,World,788511.0,1839823.0,26310430.0,28453474.0,,2212629.0,1761746.0,,4335740.0,,47636756.0,15951565.0,,4102625.0,,1589747.0,2884052.0,,7261616.0,3054826.0,,2656145.0,3415027.0
201402,France,260377.0,,10129740.0,2476528.0,,,,,,,,,,,,,,,1807475.0,,,,
201402,Germany,97551.0,,,,2551685.0,,1028183.0,,,,38638706.0,2664623.0,,,,,,,,,,,
201402,Greece,6330.0,,,,,,,,,,,,,,,,,,,,,,
201402,Ireland,539053.0,,,,,,,,,,,,,,,,,,,,,,
201402,Netherlands,254015.0,,14298351.0,13401818.0,,,,,,,,1801320.0,,,,,,,,,,,
201402,USA,219855.0,,,,,,,,,,,,,,,,,,,,,,3893468.0
201402,World,1377182.0,1792322.0,25117740.0,30404176.0,6390822.0,2337247.0,2779598.0,,4981930.0,,41975275.0,11062330.0,,4068459.0,,1190998.0,2552215.0,,3725739.0,3169011.0,,4141895.0,4366593.0
201403,France,542925.0,,8119520.0,,,,,,,,,,,,,,,,1944659.0,1009647.0,,,
201403,Germany,36419.0,,,,972848.0,1313312.0,,,,,32918191.0,3502622.0,,,,,,,,,,,
201403,Greece,19948.0,,,,,,,,,,,,,,,,,,,,,,
201403,Ireland,918128.0,,,,,,,,,,,,,,,,,,,,,,
201403,Netherlands,935714.0,,17511608.0,8687405.0,,,,,,,,2571375.0,,,,,,,,,,,
201403,USA,647503.0,,,,,,,,,,,,,,,,,,,,,,3916156.0
201403,World,3100637.0,2227963.0,26509570.0,13860087.0,4732307.0,2350236.0,1179040.0,,4577877.0,,38806393.0,15521915.0,,5773737.0,,1444181.0,4017301.0,,4902555.0,3452957.0,937211.0,2851102.0,3968587.0
201404,France,393819.0,,12991610.0,3354073.0,,,,,,,,1198617.0,,,,1177010.0,,,1470698.0,1151638.0,,,
201404,Germany,101702.0,,,,897127.0,1009449.0,,,,,35266136.0,3305590.0,,,,,,,,,,,
201404,Greece,7616.0,,,,,,,,,,,,,,,,,,,,,,
201404,Ireland,871619.0,,,,,,,,,,,,,,,,,,,,,,
201404,World,1374755.0,1989101.0,32017056.0,36583675.0,4367436.0,2208761.0,2543088.0,,5550783.0,,40518046.0,14383753.0,988547.0,7031954.0,,1771410.0,2808856.0,,4105030.0,2939466.0,,3171431.0,3387057.0
201405,France,424719.0,,10854086.0,3100654.0,,,,,,,,,,,,931811.0,,,2311435.0,1025659.0,,,
201405,Germany,73571.0,,,,,1116004.0,,,,,40042285.0,3742670.0,,,,,,,,,,,
201405,Greece,10407.0,,,,,,,,,,,,,,,,,,,,,,
201405,Ireland,1184467.0,,,,,,,,,,,,,,,,,,,,,,
201405,Netherlands,1060084.0,,18275439.0,12747936.0,,,,,,,,3101488.0,,,,,,,,,,,
201405,USA,315898.0,,,,,,,,,,,,,,,,,,,,,,4444901.0
201405,World,3069145.0,2952640.0,29555996.0,27701171.0,3872865.0,2781641.0,1708417.0,,5515712.0,,44700356.0,15857944.0,,7562645.0,,1487015.0,3847255.0,,5017935.0,2861896.0,,4772355.0,4470628.0
201406,France,414607.0,,9953916.0,,,,,,,,,,,,,1400041.0,,,2850188.0,1168830.0,,,
201406,Greece,32263.0,,,,,,,,,,,,,,,,,,,,,,
201406,Ireland,1025031.0,,,,,,,,,,,,,,,,,,,,,,
201406,Netherlands,2591552.0,,16181198.0,14031130.0,,,,,,,,1856798.0,,,,,,,,,,,
201406,USA,786053.0,,,,,,,,,,,,,,,,,,,,,,3234931.0
201406,World,4849506.0,2296716.0,27462389.0,21891819.0,2700662.0,2716941.0,1729928.0,,4752320.0,,49437189.0,15346746.0,,4639934.0,,2828071.0,3075319.0,,5651594.0,3651983.0,,2420483.0,3288971.0
201407,France,367418.0,,11039457.0,2844679.0,,,,,,,,,,,,956756.0,,,1761180.0,973948.0,,,
201407,Greece,16287.0,,,,,,,,,,,,,,,,,,,,,,
201407,Ireland,1310790.0,,,,,,,,,,,,,,,,,,,,,,
201407,Netherlands,1117828.0,,15741051.0,10685520.0,,,,,,,,2414927.0,,,,,,,1025728.0,,,,
201407,USA,571755.0,,,,,,,,,,,,,,,,,,,,,,4138688.0
201407,World,3384078.0,1821434.0,27566162.0,23904269.0,3968728.0,2363993.0,2508231.0,,5014115.0,995826.0,38534986.0,13583546.0,,4806187.0,,2062660.0,3282961.0,,5004894.0,2597506.0,,4070282.0,4197979.0
201408,France,346081.0,,8386190.0,1736659.0,,,,,,,,,,,,,,,2050438.0,902356.0,,,
201408,Germany,91872.0,,,,,1920952.0,,,,,27587143.0,2771707.0,,,,,,,,,,,
201408,Greece,27040.0,,,,,,,,,,,,,,,,,,,,,,
201408,Ireland,1134158.0,,,,,,,,,,,,,,,,,,,,,,
201408,Netherlands,1481428.0,,16077818.0,10318595.0,,,,,,,,1850327.0,,,,,,,,,,,
201408,USA,2246443.0,,,,,,,,,,,,,,,,,,,,,,3218460.0
201408,World,5327022.0,1991139.0,24853941.0,25190290.0,1646430.0,4180147.0,1150428.0,,4641208.0,964511.0,34543169.0,11282730.0,888496.0,3929747.0,,1424057.0,3625184.0,,6142378.0,2624857.0,,5179014.0,3424667.0
201409,France,261811.0,,7972508.0,2705856.0,,,,,,,,,,,,,,,2136315.0,907473.0,,,
201409,Greece,5815.0,,,,,,,,,,,,,,,,,,,,,,
201409,Ireland,1799811.0,,,,,,,,,,,,,,,,,,,,,,
201409,Netherlands,13119.0,,17920224.0,11372244.0,,,,,,,,3178121.0,,,,,,,,,,,
201409,World,2080555.0,2675425.0,26879479.0,26006778.0,4199959.0,2356453.0,3623509.0,,5037534.0,980266.0,45973758.0,18755641.0,1058233.0,4152144.0,,,4468073.0,,6366231.0,2959502.0,,3401264.0,3839230.0
201410,France,126844.0,,10409475.0,2462237.0,,,,,,,,,,,,,,,2371207.0,1282390.0,,,
201410,Germany,100287.0,,,,2001510.0,1318988.0,,,,,37400329.0,5357229.0,,,,,,,,,,,
201410,Greece,13111.0,,,,,,,,,,,,,,,,,,,,,,
201410,Hungary,61424.0,,,,1347495.0,,,,,,,1754627.0,,1304729.0,,,,,,,,,
201410,Ireland,1330844.0,,,,,,,,,,,,,,,,,,,,,,
201410,Netherlands,1255551.0,,16993859.0,13269531.0,,,,,,,,2170659.0,,,,,,,,,,,
201410,World,2888060.0,2627527.0,27932040.0,29289812.0,4019001.0,2312118.0,1740986.0,,5099206.0,,42703182.0,17772641.0,,3658163.0,930502.0,1978796.0,2668007.0,,5584332.0,3001747.0,,5605717.0,3789045.0
201411,France,255549.0,,8427655.0,1999673.0,,,,,,,,,,,,,,,1982300.0,,,,
201411,Greece,8123.0,,,,,,,,,,,,,,,,,,,,,,
201411,Hungary,50361.0,,,,,1030103.0,,,,,,1406236.0,,1082102.0,,,,,,,,,
201411,Ireland,1882021.0,,,,,,,,,,,,,,,,,,,,,,
