period,partner,United Kingdom,Australia,Austria,Belgium,Bulgaria,Canada,Chile,Brazil,Cyprus,Czechia,Denmark,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Netherlands,Poland,Portugal,Romania,Spain,Sweden,USA,Mexico
201401,Australia,4975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
201401,Belgium,7326630.0,,,,,,,,,4965699.0,,,4037092.0,59408616.0,,,,8040502.0,,,,29348605.0,,,,,,
201401,Denmark,22405326.0,14096280.0,,,,,,,,,,,4932457.0,71935206.0,,,,25950292.0,,,,27136762.0,,,,17410999.0,12043415.0,
201401,Finland,130378.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
201401,France,8895615.0,,,,,,,,,,,,,6513705.0,6353473.0,,,28696067.0,,,,,,,5884624.0,,,
201401,Germany,27724830.0,,,3626806.0,4210635.0,,,,,24634235.0,14603670.0,3826200.0,13914913.0,,8346624.0,8316601.0,,83899015.0,,,22211153.0,43488223.0,,8779105.0,,12006055.0,,
201401,Greece,8519.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
201401,Hungary,4002.0,,,,,,,,,,,,,,,,,6622912.0,,,,,,3739772.0,,,,
201401,Ireland,9721355.0,,,,,,,,,,,,,3772406.0,,,,,,,,,,,,,,
201401,Italy,1273936.0,,,,,,,,,,,,,3046653.0,,,,,,,,,,,,,,
201401,Netherlands,13396068.0,,,5327335.0,,,,,,,,,,23156979.0,20091044.0,,,36192598.0,,,,14637133.0,,,4692606.0,,,
201401,Poland,559418.0,,,,,,,,,4159518.0,,,,5233399.0,,7003515.0,,13602105.0,,,,,,,,6562595.0,,
201401,Portugal,588549.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
201401,Spain,8732108.0,,,3711597.0,6973247.0,,,,,7929638.0,,,78689926.0,18684842.0,3716442.0,,,35405274.0,,,,11294553.0,29956932.0,,,,,
201401,USA,312753.0,15965968.0,,,,31640216.0,,,,,,,,,,,,,,,,,,,,,,100625211.0
201401,World,101084460.0,41742082.0,,17441773.0,20022256.0,34286858.0,6000542.0,,,52616809.0,19753158.0,6250916.0,107470404.0,203503185.0,43677645.0,32423255.0,12492573.0,250100524.0,5370842.0,12440421.0,32682115.0,143932287.0,30697902.0,23978928.0,19104956.0,40562034.0,89499296.0,109917017.0
201402,Austria,20317.0,,,,,,,,,4235898.0,,,,,,3518209.0,,7927727.0,,,,,,,,,,
201402,Belgium,5967764.0,,,,,,,,,5090688.0,,,3261800.0,51086753.0,,,,7431443.0,,,3439696.0,25024389.0,,,,,,
201402,Chile,82262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
201402,Denmark,20089943.0,9373188.0,,,,,,,,,,,4463270.0,55646241.0,,,,22410166.0,,,,23791568.0,,,,14294995.0,9826955.0,
201402,France,7912475.0,,,3008788.0,3371368.0,,,,,,,,,4769800.0,5687755.0,,,24163169.0,,,,,,,6705068.0,,,
