partner,United Kingdom,netweight_kg,Australia,Austria,Belgium,Bulgaria,Canada,Chile,Brazil,Cyprus,Czech Rep.,Denmark,Finland,Estonia,France,Germany,Greece,Hungary,Croatia,Ireland,Italy,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,United States of America
Australia,48615.0,5692.0,,,,,,,,,,,,,,,,,,,,,,,,2675986.0,,,,,,,,,
Austria,1902029.0,604118.0,,,,7507642.0,2598903.0,,,,,,3066969.0,,5379102.0,,,121849525.0,32711764.0,,352794603.0,,2599262.0,,,2523379.0,,,,34462668.0,36511995.0,145800142.0,,,
Belgium,265009928.0,105895358.0,26409044.0,,,24058023.0,,,,,,2692526.0,,10145656.0,111184069.0,,33462064.0,8718073.0,4838196.0,,183667511.0,3149235.0,64643128.0,,,90213278.0,,1010039819.0,4897515.0,46716725.0,51866881.0,27203125.0,12059629.0,,
Brazil,,,,,,,,100063485.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,673219.0,320008.0,,,,,,,,,,,,,,,24459797.0,,,,,,,,,,,,,,,,,,
Canada,,,219779569.0,,,,,86670395.0,,,,,,,,,,,,,,,,,506753401.0,,,,,,,,,,
Chile,417347.0,146286.0,,,,,17311049.0,,,,,,,,,,,,,,4399324.0,,,,5822854.0,,,,,,,,3015159.0,3123804.0,
Croatia,,,,,,,,,,,,,,,,,,16258945.0,,,,,,,,,,,,,,29923982.0,,,
Cyprus,61300.0,21357.0,,,,14159019.0,,,,,,,,,,,3196486.0,,,,,,,,,,,,,4268761.0,,,,,
Czech Rep.,274.0,42.0,,,3167934.0,,,,,,,,,,2376709.0,,,25282080.0,,,,,,,,,,6994881.0,,,113780838.0,,,,
Denmark,842957219.0,356956640.0,543775747.0,7028841.0,7860430.0,8326026.0,37407286.0,,,,,,19609978.0,24736512.0,151901901.0,,92711841.0,33301071.0,26961806.0,49708851.0,640096400.0,27054143.0,34482291.0,,3871670.0,50165451.0,,678601097.0,,40665108.0,32830143.0,3082834.0,41096718.0,333581468.0,
Estonia,,,,,,,,,,,,,4399622.0,,,,,3797846.0,,,,30441741.0,18095379.0,,,,,,,7830084.0,,,,,
Finland,1911328.0,1061709.0,,,,,,,,,,4820463.0,,18195319.0,,,,,,,,,8007403.0,,,,3672898.0,18966036.0,,,,,,38413428.0,
France,245498092.0,84269719.0,,61630075.0,75417382.0,100610705.0,,,,,,8002864.0,,,8472138.0,,147717721.0,53814531.0,19673987.0,31337360.0,606391799.0,,10931090.0,,,68027739.0,,74352013.0,13671150.0,27197680.0,24527115.0,4115997.0,142247124.0,,
Germany,639847173.0,210673807.0,,855015408.0,103521580.0,102790045.0,59568179.0,,,7235440.0,,370340695.0,137735089.0,39223335.0,367369387.0,,297671479.0,248419388.0,216735996.0,39591174.0,2464799982.0,22998835.0,64075726.0,,,676575352.0,5748440.0,1208602141.0,6397742.0,312300973.0,146058218.0,70107494.0,79869162.0,357601082.0,
Greece,982156.0,228673.0,,,,3939403.0,,,,10212356.0,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,2644305.0,979708.0,,29550673.0,,21922438.0,,,,,,,2429879.0,,,,,,50558650.0,,137637822.0,,5169890.0,,,8710770.0,,27662690.0,,191620947.0,14930757.0,17085290.0,31558841.0,,
Ireland,295669497.0,96755416.0,43732277.0,,,,8434994.0,,,,,9670222.0,,,23222233.0,,,4871532.0,,,19030602.0,,,,,3576985.0,,5251367.0,,,,,,5998225.0,
Italy,33814195.0,8556221.0,,26002911.0,4823340.0,14633712.0,,,,,,4988133.0,,,39365607.0,,12659539.0,50532016.0,13828065.0,4614713.0,,,,,,12027615.0,,43315574.0,,25226528.0,9666995.0,29139808.0,23917529.0,8174723.0,
Latvia,9684.0,2769.0,,,,,,,,,,,,,,,,,,,,,7657799.0,,,,,,,,,,,,
Lithuania,873.0,76.0,,,,,,,,,,,,,,,,,,,,23909435.0,,,,,,4627731.0,,,,,,,
Luxembourg,,,,,10422316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,6168911.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,376015598.0,161188220.0,137760952.0,34561109.0,170217904.0,36325942.0,14626728.0,,,4268967.0,,33509502.0,7331531.0,,62089071.0,,688836765.0,43732135.0,78993612.0,57285824.0,935615856.0,,25815529.0,,,,,423929699.0,4274998.0,120104674.0,8106050.0,30775843.0,179716423.0,75419354.0,
Norway,,,,,,,,,,,,17290551.0,,,,,,,,,,,,,,,,,,,,,,3376813.0,
Poland,81616817.0,30067497.0,,32320834.0,11725845.0,33329926.0,29196203.0,14367339.0,,,,17432712.0,,30159107.0,13700963.0,,11028089.0,120477006.0,35437305.0,16175857.0,338527278.0,69216354.0,106673548.0,,,46098215.0,,,,57582945.0,140811148.0,3972169.0,76968933.0,144303916.0,
Portugal,23572291.0,8125400.0,,,,,,,,,,,,,12348133.0,,,,,,8760377.0,,,,,,,6087930.0,,,,,70494306.0,,
Romania,5532421.0,1747265.0,,,,25445786.0,,,,,,,,,,,13936013.0,19936690.0,,3273365.0,,,,,,,,,,,,,10416631.0,,
Slovakia,,,,,,,,,,,,,,,,,,41192496.0,,,,,,,,,,10798013.0,,,,,,,
Slovenia,,,,,,,,,,,,,,,,,,,2674361.0,,4947386.0,,,,,,,,,,,,,,
Spain,296551413.0,98193787.0,,22170990.0,108301371.0,218144031.0,32422343.0,,,18127006.0,,34146372.0,19353296.0,9371459.0,2055449737.0,,128622797.0,64685641.0,78982188.0,56296033.0,962849767.0,,21949142.0,,,33034238.0,,406625297.0,957361908.0,205513538.0,55255761.0,18153379.0,,5399358.0,
Sweden,758470.0,386610.0,,,,,,,,,,,2614361.0,,,,,,,,3171025.0,,,,,20159007.0,3273657.0,56235721.0,,,,,,,
United Kingdom,,,4698269.0,,12664877.0,6536856.0,,,,,,14727318.0,,,10041334.0,,,18775930.0,,102154535.0,5778983.0,,,,,16725396.0,,277282433.0,,3513108.0,6359653.0,,12602389.0,6484700.0,
United States of America,12329840.0,2718180.0,458423267.0,,3257317.0,,1184605281.0,131558547.0,,,,,,,,,,,,,,,,,3433836180.0,3085268.0,,,,,,,,,
