partner,United Kingdom,Austria,Belgium,Cyprus,Bulgaria,Czech Rep.,Denmark,Finland,Estonia,France,Croatia,Bosnia Herzegovina,Germany,Greece,Guinea,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Japan,Norway,Poland,Portugal,Romania,Serbia,Montenegro,Slovakia,Slovenia,Spain,Sweden,Switzerland,Ukraine,Belarus,Russian Federation,Kazakhstan,Kyrgyzstan,United Arab Emirates,United States of America
Austria,46670.0,,962004.0,557662.0,470114.0,,,,,597596.0,5093145.0,,,13340524.0,,12310089.0,,515204606.0,,,,,2149336.0,,,748138.0,701525.0,1398561.0,,,1668791.0,35546104.0,,41561824.0,625608.0,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1317460.0,,451715361.0,5855517.0,,,
Belgium,38325844.0,666346.0,,676706.0,,,15011633.0,,,680856778.0,2522623.0,,,16775730.0,,8462413.0,,69548094.0,,,,,340770935.0,,,7994896.0,,2256483.0,3070271.0,,1106423.0,600456.0,16672864.0,4002468.0,,317993.0,,2285781.0,,,,
Bosnia Herzegovina,,,,,,,,,,,759107.0,,,,,,,,,,,,,,,,,,26251431.0,28445481.0,,,,,,,,,,,,
Bulgaria,,,,423882.0,,,,,,,,,,11359917.0,,,,4675325.0,,,,,,,,3819640.0,,1766310.0,,,,,,,,,,,,,,
Croatia,,,,,,,,,,528657.0,,17803071.0,,,,3117435.0,,1747749.0,,,,,,,,,,,6601865.0,979321.0,,7534769.0,,,,,,,,,,
Cyprus,,,286852.0,,,,,,,,,,,4403302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Rep.,252371.0,,,,5968117.0,,,,,1755950.0,17190534.0,,,697371.0,,38204128.0,,73534171.0,,,,,5486424.0,,,43024040.0,,23298126.0,1603358.0,,145643464.0,4201410.0,,,,,,,,,,
Denmark,99851295.0,276259.0,,,,,,1363415.0,,1589454.0,,,,6961253.0,,,,,,,,,8960705.0,,,758022.0,2785951.0,,,,,,1161103.0,104883227.0,,274984.0,,2952601.0,,,,
Estonia,,,,,,,,1704200.0,,,,,,,,,,,64848962.0,137311985.0,,,,,,,,,,,,,,,,,,11287986.0,,,,
Finland,12.0,,1419458.0,,,,808926.0,,489795.0,,,,,,,,,,,,,,,,,,,,,,,,6391913.0,72850118.0,,,,17025886.0,,,,
France,49988548.0,772733.0,301620082.0,419533.0,1013213.0,,1478871.0,,,8347511.0,,,,22344574.0,,1153499.0,1468203.0,691950692.0,,,,784640.0,29801375.0,,,2249509.0,62010580.0,3199937.0,,,3495067.0,1194045.0,241346502.0,5059595.0,41384860.0,553381.0,,776349.0,2250289.0,,,
