period,partner,United Kingdom,Austria,Belgium,Czechia,Denmark,Finland,France,Germany,Greece,Bulgaria,Hungary,Ireland,Italy,Croatia,Latvia,Estonia,Lithuania,Luxembourg,Netherlands,Japan,Norway,Poland,Portugal,Romania,Serbia,Bosnia Herzegovina,Slovakia,Slovenia,Spain,Sweden,Switzerland,USA,Canada,Mexico,Ukraine,Belarus,Russian Federation,Kazakhstan,Kyrgyzstan,United Arab Emirates,Uruguay
201401,Belgium,4472349.0,,,,762476.0,,23185013.0,18924596.0,521072.0,,,,1325826.0,,,,,849012.0,8638771.0,,,,,,,,,,1378598.0,,,,,,,,693825.0,,,,
201401,Denmark,2233438.0,,,,,,,9777710.0,,,,,,,,,,,824167.0,,,,,,,,,,,1859423.0,,,,,,,,,,,
201401,France,1522872.0,,11213197.0,,,,570542.0,7739190.0,,,,,28955813.0,,,,,,1014272.0,,,,2970630.0,,,,,,14434861.0,472366.0,1550534.0,385297.0,,,,,,,,,
201401,Germany,1028700.0,,32263934.0,2039664.0,4058486.0,572871.0,10904450.0,,6268581.0,,967187.0,,41042909.0,462596.0,348879.0,,,387671.0,10425804.0,,,3194135.0,328748.0,478398.0,,,,796453.0,1524878.0,2404354.0,,,,,,,,,,,
201401,Ireland,10676138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201401,Italy,4685.0,,333894.0,,,,,1206227.0,1339845.0,,342106.0,,,,,,,,,,,,,,,,,,,,498855.0,,,,,,,,,,
201401,Lithuania,5629.0,,,,,,,3813753.0,,,,,,,3091399.0,,,,,,,7174772.0,,,,,,,,,,,,,455099.0,,,,,,
201401,Netherlands,1087006.0,,34106959.0,,432173.0,,5258394.0,13977715.0,,,,,2566956.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201401,Poland,660868.0,,,407189.0,,,575029.0,13091704.0,,,345298.0,,1719945.0,,,,427233.0,,,,,,,1022536.0,,,561792.0,,,,,,,,,,947881.0,,,,
201401,Portugal,3662.0,,,,,,387482.0,,,,,,,,,,,,,,,,,,,,,,10349425.0,,,,,,,,,,,,
201401,Romania,188706.0,,,,,,,,537693.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201401,Spain,68.0,,1243587.0,,,,13315077.0,,,,,,910452.0,,,,,,,,,,7068394.0,,,,,,,,,,,,,,,,,,
201401,Sweden,66625.0,,,,709381.0,1093859.0,1170260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201401,World,21950747.0,,81193286.0,4505560.0,6149579.0,1824419.0,60336243.0,115509077.0,11512287.0,933496.0,8376562.0,32743193.0,118010678.0,9158933.0,5737143.0,991997.0,19951551.0,1746865.0,23996975.0,,,12717501.0,10568244.0,8122606.0,780131.0,1612123.0,9092953.0,4144669.0,27946951.0,8911640.0,2082238.0,1301298.0,2889621.0,2393913.0,987145.0,,27668561.0,1818933.0,,,
