period,partner,United Kingdom,France,Belgium,China,Czechia,Chile,Georgia,Azerbaijan,Germany,Greece,Bulgaria,Hungary,Ireland,Italy,Argentina,Austria,Canada,Croatia,Lithuania,Estonia,Latvia,Luxembourg,Malta,Netherlands,New Zealand,Poland,Portugal,Rep. of Moldova,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Denmark,Finland,Morocco,Norway,Turkey,USA
201401,France,84.0,,,,,,,,,,,,,26360.0,,,,,,,,,,,,,,,,,,,127607.0,,,,,,,
201401,Ireland,987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201401,Italy,1308.0,158116.0,20415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2851.0,,
201401,Lithuania,2773.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201401,Poland,473.0,,,,,,,,,,,,,,,,,,5496.0,,,,,,,,,,,,,,,,2254.0,,,,,
201401,World,5624.0,168262.0,21164.0,,,,,,,,10044.0,,2423.0,26700.0,,4464.0,3675770.0,,19599.0,,,,,,,,16857.0,,,,,,141000.0,16023.0,14792.0,,,5214.0,,72660.0
201402,Ireland,1636.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201402,Italy,2966.0,19036.0,13398.0,,,,,,,,,,,,,,,,,,,,,,,2146.0,15874.0,,,,,,,,,,,5282.0,,
201402,Lithuania,3450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201402,Poland,1512.0,,,,,,,,,,,,,,,,,,1924.0,,,,,,,,,,,,,,,,1914.0,,,,,
201402,World,9564.0,19269.0,13589.0,,,,,,,,7921.0,,2140.0,56591.0,,1885.0,1108139.0,,24019.0,,,,6719.0,,,3553.0,16580.0,,,,,,270678.0,,75963.0,2841.0,,17453.0,,
201403,Lithuania,4187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38166.0,,,,
201403,Poland,800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2387.0,,,,,
201403,World,4987.0,16158.0,11224.0,,12655.0,,,,,,,,2343.0,,,,1522517.0,,,3405.0,,,8003.0,,,1892.0,,,,,,,116424.0,3430.0,23242.0,38166.0,,30908.0,,
201404,France,90.0,,12998.0,,,,,,,,,,,17577.0,,,,,,,,,,,,,,,,,,,58595.0,,,,,,,
201404,Ireland,370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201404,Italy,1898.0,47542.0,,,,,,,,,,,,,,,,,,,,,,,,,19914.0,,,,,,,,,,,7977.0,,
201404,Lithuania,3862.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201404,Turkey,4603.0,,,,,,,,,,,,,,,,6772.0,,,,,,,,,,,,,,,,15871.0,,,,,5572.0,,
201404,World,10823.0,54157.0,14062.0,,,,,,,,,,3068.0,4628144.0,,2348.0,221507.0,,,4020.0,,,,,,,25677.0,,,,,,74466.0,,27952.0,,,13549.0,,
201405,Ireland,817.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201405,Lithuania,3785.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201405,Poland,1171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2497.0,,,,,
201405,World,5773.0,91310.0,13308.0,,,,,,,,3538.0,,2642.0,6544005.0,,,4584.0,,,29077.0,,,,75859.0,,,,,2174.0,,,,159066.0,24331.0,12193.0,,,5478.0,,709978.0
201406,France,90.0,,8239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7870.0,,,,,,,
201406,Ireland,810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201406,Italy,1993.0,192524.0,,,,,,,,,,,,,,,,,,,,,,39960.0,,,,,,,,,,,6613.0,,,4818.0,,
201406,Poland,1557.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2409.0,,,,,
201406,World,4449.0,556507.0,9833.0,,11611.0,,,,,,,,2403.0,9202048.0,,,230845.0,,,,,,,39960.0,,,2179.0,,3441.0,,,,7870.0,24519.0,46773.0,12699.0,,11723.0,,2416434.0
201407,France,1262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201407,Ireland,399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201407,Lithuania,2385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201407,Poland,712.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201407,World,4758.0,248343.0,,,,,,,,,,2799.0,2642.0,7272741.0,,,1521956.0,,,2105.0,,,,,,20259.0,,,13289.0,,,,179135.0,,112006.0,,,9575.0,,
201408,France,1861.0,,16006.0,,,,,,,,,,,57485.0,,,,,,,,,,,,,,,,,,,16379.0,,,,,,,
201408,Ireland,1191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201408,Italy,1336.0,47718.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5206.0,,
201408,Lithuania,3275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201408,Netherlands,29014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4928.0,28964.0,,,,,
201408,Poland,733.0,,,,,,,,,,,,,,,,,,2327.0,,,,,,,,,,,,,,,,,,,,,
201408,World,37410.0,72701.0,26605.0,,,2297.0,,,,8655.0,,,3481.0,3723485.0,,,,,15088.0,,,,,,,,,,4643.0,,,,16379.0,35798.0,46381.0,2806.0,,5206.0,,91689.0
201409,France,231.0,,32214.0,,,,,,,,,,,659547.0,,,,,,,,,,,,,,,,,,,569708.0,,,,,,,
201409,Ireland,986.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201409,Italy,147778.0,51281.0,,,,,,,,,,,,,,,,,,,,,5767.0,,,,,,,,,,,,,,,10349.0,,
