,partner,period,trade_value_usd,reporter
0,World,201401,5624,United Kingdom
1,France,201401,84,United Kingdom
2,Ireland,201401,987,United Kingdom
3,Italy,201401,1308,United Kingdom
4,Lithuania,201401,2773,United Kingdom
5,Poland,201401,473,United Kingdom
6,World,201402,9564,United Kingdom
7,Ireland,201402,1636,United Kingdom
8,Italy,201402,2966,United Kingdom
9,Lithuania,201402,3450,United Kingdom
10,Poland,201402,1512,United Kingdom
11,World,201403,4987,United Kingdom
12,Lithuania,201403,4187,United Kingdom
13,Poland,201403,800,United Kingdom
14,World,201404,10823,United Kingdom
15,France,201404,90,United Kingdom
16,Ireland,201404,370,United Kingdom
17,Italy,201404,1898,United Kingdom
18,Lithuania,201404,3862,United Kingdom
19,Turkey,201404,4603,United Kingdom
20,World,201405,5773,United Kingdom
21,Ireland,201405,817,United Kingdom
22,Lithuania,201405,3785,United Kingdom
23,Poland,201405,1171,United Kingdom
24,World,201406,4449,United Kingdom
25,France,201406,90,United Kingdom
26,Ireland,201406,810,United Kingdom
27,Italy,201406,1993,United Kingdom
28,Poland,201406,1557,United Kingdom
29,World,201407,4758,United Kingdom
30,France,201407,1262,United Kingdom
31,Ireland,201407,399,United Kingdom
32,Lithuania,201407,2385,United Kingdom
33,Poland,201407,712,United Kingdom
34,World,201408,37410,United Kingdom
35,France,201408,1861,United Kingdom
36,Ireland,201408,1191,United Kingdom
37,Italy,201408,1336,United Kingdom
38,Lithuania,201408,3275,United Kingdom
39,Netherlands,201408,29014,United Kingdom
40,Poland,201408,733,United Kingdom
44,World,201409,182326,United Kingdom
45,France,201409,231,United Kingdom
46,Ireland,201409,986,United Kingdom
47,Italy,201409,147778,United Kingdom
48,Lithuania,201409,2493,United Kingdom
49,Netherlands,201409,29172,United Kingdom
50,Poland,201409,1665,United Kingdom
53,World,201410,197811,United Kingdom
54,France,201410,374,United Kingdom
55,Italy,201410,193005,United Kingdom
56,Lithuania,201410,3114,United Kingdom
57,Netherlands,201410,80,United Kingdom
58,Poland,201410,1237,United Kingdom
61,World,201411,233107,United Kingdom
62,France,201411,7060,United Kingdom
63,Ireland,201411,1541,United Kingdom
64,Italy,201411,209724,United Kingdom
65,Lithuania,201411,3304,United Kingdom
66,Netherlands,201411,9947,United Kingdom
67,Poland,201411,1532,United Kingdom
68,World,201412,9586,United Kingdom
69,France,201412,4786,United Kingdom
70,Ireland,201412,997,United Kingdom
71,Netherlands,201412,1671,United Kingdom
72,Poland,201412,2133,United Kingdom
76,World,201501,7889,United Kingdom
77,France,201501,275,United Kingdom
78,Ireland,201501,1237,United Kingdom
79,Italy,201501,1521,United Kingdom
80,Lithuania,201501,2561,United Kingdom
81,Netherlands,201501,1860,United Kingdom
82,Poland,201501,434,United Kingdom
83,World,201502,2484,United Kingdom
84,France,201502,254,United Kingdom
85,Ireland,201502,529,United Kingdom
86,Lithuania,201502,1018,United Kingdom
87,Poland,201502,684,United Kingdom
90,World,201503,5070,United Kingdom
91,France,201503,162,United Kingdom
92,Ireland,201503,852,United Kingdom
