period,partner,United Kingdom,Australia,Austria,Belgium,Canada,China,Comoros,Denmark,France,Czechia,French Polynesia,Germany,Ecuador,Greece,Bulgaria,Guinea,Haiti,India,Indonesia,Ireland,Italy,Jamaica,Latvia,Lebanon,Lithuania,Madagascar,Japan,Malta,Mauritius,Mexico,Morocco,Netherlands,Costa Rica,New Zealand,Panama,Papua New Guinea,Peru,Poland,Portugal,Rep. of Korea,Rep. of Moldova,Romania,Singapore,Malaysia,Slovakia,South Africa,Spain,Sri Lanka,Sweden,Estonia,Switzerland,Tonga,Turkey,USA,Israel,Ghana,Mauritania,Russian Federation,Uganda,United Rep. of Tanzania,Viet Nam
201401,Australia,6642.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35181.0,,,,,,,,,,,,,,,,,
201401,France,79063.0,,,28976.0,,,,42617.0,,,,245552.0,,27152.0,,,,,,,195857.0,,,,,,,,,,,137869.0,,,,,,22420.0,28491.0,,,,40376.0,,,,20293.0,,,,27379.0,,,,,,,,,,
201401,Germany,443.0,627921.0,,16278.0,,,,209442.0,68779.0,,,,,,,,,,,,268156.0,,,,,,,,,,,127009.0,,,,,,56505.0,,,,,,,,,27642.0,,61010.0,,114586.0,,,,,,,,,,
201401,India,72578.0,,,,,,,,37336.0,,,28132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201401,Indonesia,32233.0,,,,,,,,97170.0,,,542590.0,,,,,,,,,,,,,,,,,,,,15230.0,,,,,,20403.0,,,,,,,,,,,,,,,,57444.0,,,,,,,
201401,Ireland,4367.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201401,Lithuania,652.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201401,Netherlands,38493.0,,,23817.0,,,,,,,,21599.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201401,Poland,471.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201401,South Africa,6235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41752.0,,,,,,,,,,,,
201401,Spain,31316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201401,Sri Lanka,1858.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201401,Sweden,11316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201401,Turkey,23037.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201401,USA,4987.0,,,79591.0,36916.0,,,,78888.0,,,,,,,,,15971.0,,,,,,,,,,,,,,,,,,,,,,,,,50985.0,,,,,,,,,,,,,,,,,,
201401,Uganda,53327.0,,,,,,,,,,,113562.0,,,,,,,,,,,,,,,18559.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201401,World,367020.0,702851.0,,737893.0,2074831.0,,,272912.0,2581923.0,36569.0,,1426287.0,,28929.0,,,,357528.0,1281200.0,24853.0,490655.0,,,,,,286610.0,,73334.0,,,618411.0,,19478.0,,,,125458.0,31319.0,,,26810.0,95269.0,56348.0,,,53297.0,,165929.0,,185637.0,,,3913926.0,,,,17378.0,,,
201402,Belgium,643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201402,France,76862.0,,39497.0,78899.0,18571.0,,,64310.0,,,,204535.0,,,,,,18415.0,,,111549.0,,,,,,,,,,,,,,,,,38349.0,,,,,,,,,84076.0,,22938.0,,,,,,,,,,,,
201402,Germany,189161.0,,150943.0,31098.0,,,,258898.0,163816.0,,,,,,,,,,,,152784.0,,,,,,,,,,,98443.0,,,,,,57386.0,,,,79477.0,,,,,99276.0,,29712.0,,138181.0,,,,,,,,,,
201402,Ireland,4770.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201402,Jamaica,3310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201402,Lithuania,820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201402,Madagascar,5740.0,17690.0,,959166.0,821599.0,,,,3201892.0,,,2578864.0,,,,,,59382.0,,,,,,,,,492422.0,,166307.0,,,246108.0,,,,,,16685.0,,,,,,,,,,,,,576919.0,,,5498611.0,,,,,,,
201402,Netherlands,18104.0,,,35537.0,,,,,,,,19216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201402,Poland,227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201402,Spain,32183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201402,Turkey,6023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201402,USA,167130.0,,,,20211.0,,,,33947.0,,,,,,,,,,37991.0,,,,,,,,,,,,,29596.0,,,,,,,,,,,82849.0,16420.0,,,,,,,,,,,,,,,,,
201402,Uganda,21106.0,,,,,,,,,,,,,,,,,,,,,,,,,,33415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,15589.0,,,,,,,
201402,World,526078.0,298520.0,190495.0,1108429.0,923874.0,,,329488.0,3809885.0,,,4358108.0,,46403.0,,,,77797.0,37991.0,21322.0,278830.0,,,,,,525837.0,,166594.0,,,796205.0,,,,,,145770.0,36349.0,,,96372.0,120357.0,16420.0,,,189880.0,,169189.0,,803067.0,,,5940850.0,26000.0,,,43411.0,,,
201403,Australia,3351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201403,Belgium,765.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201403,China,2934.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201403,France,278688.0,,48212.0,114323.0,,,,49618.0,,50825.0,,258392.0,,,,,,46837.0,,23498.0,80274.0,,,,,,,,,,,174063.0,,,,,,25480.0,22829.0,,,,,,,,135223.0,,36478.0,,,,93152.0,,,,,,,,
201403,Germany,28737.0,,82256.0,,,,,279373.0,23565.0,56649.0,,,,37067.0,,,,,,22062.0,262244.0,,,,,,,,,,,59435.0,,,,,,112637.0,,,,,,,44409.0,,,,45364.0,,179603.0,,,,,,,,,,
201403,Ireland,8274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201403,Italy,186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201403,Jamaica,21898.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201403,Lithuania,826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24841.0,,,
201403,Madagascar,17372.0,28210.0,,,2166648.0,,,,4983999.0,,,3336375.0,,,,,,807373.0,90000.0,,,,,,,,316250.0,,189188.0,,,864800.0,,,,,,19626.0,,,,,73353.0,,,,,,,,90928.0,,,7586619.0,,,,,,,
201403,Netherlands,68926.0,,,42780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201403,Poland,846.0,,,,,,,,,,,20263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201403,Spain,49470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201403,Turkey,4129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201403,USA,12024.0,,,,15814.0,,,,16498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148789.0,,,,,,,,,,,,,,,,,,
201403,Uganda,37239.0,,,,,,,,18700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224913.0,,,,,,,
201403,World,535666.0,445008.0,135679.0,164277.0,2200846.0,,,343203.0,5618495.0,118981.0,,3957517.0,,50404.0,,,,854210.0,90000.0,49121.0,352741.0,,,,,,316250.0,,189188.0,,,1098561.0,,,,,,166088.0,33884.0,,,46016.0,242316.0,,48567.0,,145990.0,,185665.0,27424.0,326819.0,,93152.0,8957116.0,,,,66735.0,,,
201404,Australia,6749.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201404,Belgium,5637.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201404,France,155161.0,,47019.0,108446.0,,,,73156.0,,,,392883.0,,,,,,,,,178776.0,,,,16364.0,,,,,,,,,,,,,27458.0,23406.0,,,,24694.0,,,,32364.0,,21102.0,,,,,,,,,,,,
201404,Germany,68247.0,,347162.0,42668.0,,,,349710.0,142525.0,,,,,,,,,,,,144125.0,,,,,,,,,,,94881.0,,,,,,100140.0,,,,,,,,,25609.0,,76916.0,,147827.0,,,463931.0,,,,,,,
201404,Indonesia,4782.0,,,,,,,,26988.0,,,818558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58705.0,,,,86845.0,,,,,,,
201404,Italy,271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201404,Jamaica,15540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201404,Lithuania,767.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201404,Madagascar,115695.0,16144.0,,140451.0,1988762.0,,,,3457084.0,,,2915358.0,,,,,,428320.0,,,24486.0,,,,,,1080173.0,,1785264.0,,,416724.0,,,,,,33596.0,,,,,,,,94700.0,,,,,68985.0,,,5908430.0,,,,,,,
201404,Netherlands,53825.0,,,33345.0,,,,,,,,361611.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201404,Poland,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201404,Spain,5604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201404,Turkey,13263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201404,USA,6295.0,,,79825.0,26249.0,,,,79369.0,,,,,,,,,,,,,,,,,,,,,,,32184.0,,,,,,,,,,,20513.0,,,,,,,,,,,,,,,,,,
201404,Uganda,26433.0,,,,,,,32617.0,,,,,,,,,,,,,,,,,,,,,,,,125546.0,,,,,,,,,,,,,,,,,,,,,,789626.0,,,,,,,
201404,World,478434.0,77430.0,394624.0,407815.0,2035294.0,,,536544.0,4457998.0,,,4579037.0,,51437.0,,,,428320.0,,,356297.0,,,,20234.0,,1274822.0,45901.0,1785264.0,,,777630.0,,17259.0,,,,183977.0,40974.0,,,,57198.0,25727.0,,96481.0,65087.0,,187473.0,67573.0,249737.0,,,7472673.0,,,,45951.0,,,
201405,Australia,10191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40399.0,,,,,,,,,,,,,,,,,
201405,Belgium,1623.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201405,France,146098.0,,33201.0,32017.0,,,,42610.0,,,,221250.0,,,,,,61961.0,,,379555.0,,,,,,,,,,,,,,,,,49313.0,,,,,,,,,83683.0,,24483.0,,,,60235.0,15210.0,,,,,,,
201405,Germany,86508.0,,109305.0,35786.0,,,,285604.0,74414.0,,,,,,,,,,,,185257.0,,,,,,,,,,,117959.0,,,,,,35219.0,,,,,,,,,58265.0,,,,86370.0,,,272337.0,,,,,,,
201405,India,1436.0,,,,,,,,292044.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120627.0,,,,,,,
201405,Italy,509.0,,,,89430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201405,Jamaica,29556.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201405,Lithuania,841.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201405,Madagascar,2568.0,571859.0,,128055.0,2998948.0,,,,3296621.0,83986.0,,1134919.0,,,,,,128981.0,95000.0,,,,,,,,1505106.0,,1280052.0,,,,,,,,,42117.0,,,,,73498.0,,,,,,,,425758.0,,,11092693.0,50000.0,,,,,,
201405,Mauritius,20657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201405,Netherlands,54735.0,,,23717.0,,,,,,,,29786.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201405,New Zealand,2130.0,20183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201405,Poland,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201405,Spain,119355.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15658.0,,,,,,,,,,,,,,,,,,,,,,
201405,Turkey,12992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201405,USA,18758.0,,,55761.0,32221.0,,,,55379.0,,,,,,,,,,,,,,,,,,16131.0,,,,,,,,,,,,,,,,23416.0,37465.0,,,,,,,,,,,,,,,,,
201405,Uganda,84993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31006.0,,,,,,,,,,,,,,,
201405,World,593294.0,653814.0,144030.0,285339.0,3132917.0,,,375771.0,3840106.0,95129.0,,2030790.0,,25538.0,,,,215592.0,95000.0,,598918.0,,,,,,1536454.0,,1280140.0,,,132559.0,,15068.0,,,,149282.0,32532.0,,,35230.0,119394.0,77864.0,,31206.0,143622.0,,248780.0,,593554.0,,60235.0,13027585.0,53000.0,,,27988.0,,,
201406,Belgium,1060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201406,France,136812.0,,62931.0,102464.0,,,,90213.0,,,,1754605.0,,39430.0,,,,,,,98587.0,,,,,,97412.0,,,,,66737.0,,,,,,30162.0,,,,,36263.0,,,,96313.0,,55019.0,,,,,70531.0,,,,,,,
201406,Germany,16265.0,,102823.0,29044.0,,,,297777.0,55567.0,,,,,,,,,,,,135636.0,,,,,,,,,,,116402.0,,,,,,28921.0,,,,,,,,,36644.0,,34686.0,,224894.0,,,,,,,16968.0,,,
201406,Indonesia,4757.0,17702.0,,,,,,,22578.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25959.0,66426.0,,,524882.0,,,,,,,
201406,Jamaica,10465.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201406,Lithuania,761.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201406,Madagascar,171754.0,31381.0,,2451798.0,3910330.0,,,135736.0,7662048.0,25945.0,,1806458.0,,,,,,,,,24653.0,,,,,,930680.0,,147112.0,,,,,,,,,47156.0,,,,,,,,,,,,,48521.0,,,4502343.0,,,,15980.0,,,
201406,Netherlands,18532.0,,,34107.0,,,,,,,,361819.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201406,Poland,778.0,,,,,,,,,,,15984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201406,Spain,89880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201406,Turkey,19161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201406,USA,5178.0,,,,30771.0,,,,81564.0,,,,,,,,,,,,,,,,,,,,,,,122260.0,,,,,,,,,,,95121.0,,,,,,,,,,,,,,,,,,
201406,Uganda,9017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201406,United Rep. of Tanzania,6038.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201406,World,490455.0,396159.0,166257.0,2618932.0,3947619.0,,,546298.0,8153493.0,36002.0,,5030589.0,,40643.0,,,,,,20849.0,271159.0,,,,,25640.0,1064799.0,,147162.0,,,798462.0,,34283.0,,,,106466.0,17436.0,,,35572.0,147830.0,,,,136831.0,,149359.0,27323.0,358691.0,,,5161085.0,18000.0,,,53290.0,,,
