partner,United Kingdom,netweight_kg,Australia,Austria,Belgium,Canada,China,Comoros,Denmark,France,Czech Rep.,French Polynesia,Germany,Greece,Bulgaria,Guinea,Haiti,India,Indonesia,Ireland,Italy,Jamaica,Lebanon,Lithuania,Luxembourg,Madagascar,Japan,Malta,Mauritius,Mexico,Malaysia,Morocco,Netherlands,Costa Rica,New Zealand,Panama,Papua New Guinea,Peru,Poland,Norway,Portugal,Rep. of Korea,Rep. of Moldova,Romania,Hungary,Singapore,South Africa,Spain,Ecuador,Sri Lanka,Sweden,Estonia,Finland,Switzerland,Thailand,Tonga,Turkey,Uganda,United Rep. of Tanzania,United States of America,Viet Nam
Australia,378198.0,6866.0,,,,,,,,,,,,,,,,39586.0,,,,,,,,,51675.0,,,,212404.0,,,,71446.0,,,,,,,,,26073.0,,19233.0,,,,,,,,,,,,,,,
Austria,6584.0,45.0,,,,,,,,,,,,,111550.0,,,,,,307116.0,,,61562.0,,,,,,,,,,,,,,,104458.0,,,,,245464.0,281549.0,,,,,,31489.0,,54047.0,,,,,,,,
Belgium,444608.0,22346.0,,,,,,,32225.0,874588.0,,,,,,,,,,,54422.0,,,,,,,,,,,,76986.0,,,,,,,,,,,37661.0,,,,110661.0,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,321495.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,12600.0,148.0,,,,,,,,30133.0,,,,,,,,,,,,,,,,59993.0,,,,,,,49053.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,98219.0,1683.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70802.0,,,,,,,,,,,,,,,,,,,,,112735.0,,,,,,,
Comoros,,,279469.0,,,,,,,998779.0,,,,,,,,199148.0,,,,,,,,,,,3931239.0,,,,586200.0,,,,,,95279.0,96472.0,,,,,,,,,,,,,29817.0,311371.0,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32803.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Rep.,,,,,,,,,,50994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,42540.0,5758.0,,91061.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55501.0,,,,24329.0,,,1261490.0,,233832.0,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22203.0,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632114.0,,,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19500.0,20581.0,,,,,,,,,
France,7306137.0,312621.0,237597.0,1435451.0,2959954.0,116852.0,,,2198990.0,,,,,896251.0,,,,594225.0,,365421.0,9906073.0,,,64225.0,,235280.0,465420.0,,3737812.0,,71632.0,,3297992.0,,,,,,1228760.0,303349.0,1952266.0,,,138674.0,482741.0,568490.0,,3155679.0,,,1423044.0,,50083.0,724201.0,22656.0,,386889.0,,,,
French Polynesia,,,,28322.0,,129434.0,,,465691.0,4308236.0,,44510.0,,,,,,,,,,,,,,,836694.0,70714.0,,,,,75942.0,,,,,,,98034.0,,,,,,,,21329.0,,,330363.0,,,84122.0,,,,,,,
Germany,3515899.0,90579.0,2005593.0,7704467.0,1154494.0,871968.0,,,16534474.0,3558904.0,,,,279841.0,,,,,,73854.0,11157917.0,,,,,,183523.0,,,,,,1987054.0,,,,,,3335981.0,,168529.0,,,4553679.0,580923.0,,,1328387.0,,,1270713.0,,616668.0,4289159.0,,,,,,,
Greece,2915.0,28.0,24310.0,,,,,,28948.0,,,,,,55343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,35455.0,,,,17898.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44097.0,,,,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,43108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21790.0,,,,,,,,,,,,,,,,,
India,2910428.0,17723.0,292421.0,,1815898.0,427529.0,,,,4516251.0,,,,,22468.0,,,,,,,,,,,176281.0,17944.0,,3681487.0,,,,406079.0,,,,,,,105764.0,,,,,,,,,,,37561.0,,,276678.0,,,,,,,
Indonesia,537194.0,6902.0,4382339.0,58242.0,,13048965.0,,,198728.0,11798572.0,,,,,,,,10707216.0,,,,,,,,,30680.0,,10775832.0,,56579.0,,1078937.0,,85130.0,,,,440632.0,99693.0,29489.0,,,,,255684.0,257943.0,212448.0,,,,256556.0,81347.0,2209072.0,23740.0,,,,,,
Ireland,42071.0,1189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,17349.0,652.0,,,,235433.0,,,,122536.0,,,,,,,,53821.0,,,,,,,,,,,,,,,114175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,502553.0,220543.0,,,,25617.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,1046440.0,,,,,,,,,,,,,,,,,,,,239615.0,,,,,,,,,,,,,,,
Lebanon,42441.0,13136.0,,,,18673.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,48844.0,10488.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,,,,,49236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
