"","period","trade_flow","reporter_code","reporter","partner_code","partner","commodity_code","netweight_kg","trade_value_usd"
"1",201409,"Exports",191,"Croatia",0,"World","070700",130733,108076
"2",201409,"Exports",100,"Bulgaria",0,"World","070700",1080300,729100
"3",201409,"Exports",100,"Bulgaria",203,"Czech Rep.","070700",636900,345515
"4",201409,"Exports",100,"Bulgaria",276,"Germany","070700",289500,291795
"5",201409,"Exports",100,"Bulgaria",300,"Greece","070700",6400,3715
"6",201409,"Exports",100,"Bulgaria",348,"Hungary","070700",119500,71742
"7",201409,"Exports",100,"Bulgaria",616,"Poland","070700",20000,11895
"8",201409,"Exports",100,"Bulgaria",642,"Romania","070700",8000,4438
"9",201409,"Exports",191,"Croatia",100,"Bulgaria","070700",2688,2196
"10",201409,"Exports",191,"Croatia",203,"Czech Rep.","070700",47440,41497
"11",201409,"Exports",191,"Croatia",381,"Italy","070700",549,484
"12",201409,"Exports",191,"Croatia",705,"Slovenia","070700",80056,63899
"13",201401,"Exports",498,"Rep. of Moldova",0,"World","070700",322572,370365
"14",201401,"Imports",894,"Zambia",0,"World","070700",1482,1664
"15",201401,"Imports",894,"Zambia",710,"South Africa","070700",1482,1664
"16",201401,"Exports",498,"Rep. of Moldova",643,"Russian Federation","070700",322572,370365
"17",201401,"Imports",458,"Malaysia",0,"World","070700",240653,203722
"18",201401,"Imports",533,"Aruba",0,"World","070700",23463,31731
"19",201401,"Imports",533,"Aruba",842,"United States of America","070700",11722,22607
"20",201401,"Imports",533,"Aruba",862,"Venezuela","070700",11732,9095
"21",201401,"Imports",533,"Aruba",899,"Areas, nes","070700",9,29
"22",201409,"Exports",251,"France",0,"World","070700",530703,790229
"23",201409,"Exports",251,"France",40,"Austria","070700",10346,15111
"24",201409,"Exports",251,"France",56,"Belgium","070700",244512,308965
"25",201409,"Exports",251,"France",208,"Denmark","070700",29,101
"26",201409,"Exports",251,"France",233,"Estonia","070700",15,35
"27",201409,"Exports",251,"France",246,"Finland","070700",91,55
"28",201409,"Exports",251,"France",276,"Germany","070700",118435,205692
"29",201409,"Exports",251,"France",372,"Ireland","070700",383,955
"30",201409,"Exports",251,"France",381,"Italy","070700",270,400
"31",201409,"Exports",251,"France",442,"Luxembourg","070700",13384,20781
"32",201409,"Exports",251,"France",528,"Netherlands","070700",5807,5237
"33",201409,"Exports",251,"France",579,"Norway","070700",7906,8961
"34",201409,"Exports",251,"France",616,"Poland","070700",32,116
"35",201409,"Exports",251,"France",705,"Slovenia","070700",24,48
"36",201409,"Exports",251,"France",724,"Spain","070700",4298,10000
"37",201409,"Exports",251,"France",752,"Sweden","070700",556,1678
"38",201409,"Exports",251,"France",757,"Switzerland","070700",103344,166944
"39",201409,"Exports",251,"France",826,"United Kingdom","070700",21230,45135
"40",201409,"Exports",251,"France",899,"Areas, nes","070700",41,15
"41",201401,"Exports",344,"China, Hong Kong SAR",0,"World","070700",274,545
"42",201401,"Exports",344,"China, Hong Kong SAR",446,"China, Macao SAR","070700",274,545
"43",201401,"Re-exports",344,"China, Hong Kong SAR",0,"World","070700",274,545
"44",201401,"Re-exports",344,"China, Hong Kong SAR",446,"China, Macao SAR","070700",274,545
"45",201401,"Imports",616,"Poland",0,"World","070700",6635835,10301841
"46",201401,"Imports",616,"Poland",218,"Ecuador","070700",3,24
"47",201401,"Imports",616,"Poland",276,"Germany","070700",661145,1302025
"48",201401,"Imports",616,"Poland",300,"Greece","070700",264717,406782
"49",201401,"Imports",616,"Poland",381,"Italy","070700",79,642
"50",201401,"Imports",616,"Poland",428,"Latvia","070700",73,49
"51",201401,"Imports",616,"Poland",504,"Morocco","070700",3893,11765
"52",201401,"Imports",616,"Poland",528,"Netherlands","070700",54439,95579
"53",201401,"Imports",616,"Poland",724,"Spain","070700",5382637,8060835
"54",201401,"Imports",616,"Poland",792,"Turkey","070700",268849,424140
"55",201401,"Exports",218,"Ecuador",0,"World","070700",20634,35295
"56",201401,"Exports",218,"Ecuador",56,"Belgium","070700",798,1853
"57",201401,"Exports",218,"Ecuador",276,"Germany","070700",270,575
"58",201401,"Exports",218,"Ecuador",528,"Netherlands","070700",4129,8967
"59",201401,"Exports",218,"Ecuador",531,"Curaçao","070700",20,53
"60",201401,"Exports",218,"Ecuador",724,"Spain","070700",28,56
"61",201401,"Exports",218,"Ecuador",842,"United States of America","070700",15389,23791
"62",201401,"Imports",344,"China, Hong Kong SAR",0,"World","070700",740153,221511
"63",201401,"Imports",344,"China, Hong Kong SAR",36,"Australia","070700",2676,8696
"64",201401,"Imports",344,"China, Hong Kong SAR",156,"China","070700",716730,162829
"65",201401,"Imports",344,"China, Hong Kong SAR",251,"France","070700",9,51
"66",201401,"Imports",344,"China, Hong Kong SAR",392,"Japan","070700",3097,26568
"67",201401,"Imports",344,"China, Hong Kong SAR",410,"Rep. of Korea","070700",14053,18039
"68",201401,"Imports",344,"China, Hong Kong SAR",458,"Malaysia","070700",3192,3857
"69",201401,"Imports",344,"China, Hong Kong SAR",528,"Netherlands","070700",189,891
