"","commoditycode","parent","description"
"1","151311","1513","Crude coconut oil"
"2","15131110","151311","Crude coconut oil, for technical or industrial uses (excl. for manufacture of foodstuffs)"
"3","15131191","151311","Crude coconut oil, in immediate packings of <= 1 kg (excl. for technical or industrial uses)"
"4","15131199","151311","Crude coconut oil, in immediate packings of > 1 kg or put up otherwise (excl. for technical or industrial uses)"
"5","151319","1513","Coconut oil and its fractions, whether or not refined, but not chemically modified (excl. crude)"
"6","15131911","151319","Solid coconut oil fractions, whether or not refined, but not chemically modified, in immediate packings of <= 1 kg"
"7","15131919","151319","Solid coconut oil fractions, whether or not refined, but not chemically modified, in immediate packings of > 1 kg or put up otherwise"
"8","15131930","151319","Coconut oil and its liquid fractions, whether or not refined, but not chemically modified, for technical or industrial uses (excl. for manufacture of foodstuffs and crude)"
"9","15131991","151319","Coconut oil and its liquid fractions, whether or not refined, but not chemically modified, in immediate packings of <= 1 kg (excl. for technical or industrial uses and crude)"
"10","15131999","151319","Coconut oil and its liquid fractions, whether or not refined, but not chemically modified, in immediate packings of > 1 kg or put up otherwise (excl. for technical or industrial uses and crude)"
"11","151321","1513","Crude palm kernel and babassu oil"
"12","15132110","151321","Crude palm kernel and babassu oil, for technical or industrial uses (excl. for manufacture of foodstuffs)"
"13","15132130","151321","Crude palm kernel and babassu oil, in immediate packings of <= 1 kg (excl. for technical or industrial uses)"
"14","15132190","151321","Raw palm kernel oil and babassu oil in immediate packings of a net content of > 1 kg or put up otherwise (excl. oils for technical or industrial uses)"
"15","151329","1513","Palm kernel and babassu oil and their fractions, whether or not refined, but not chemically modified (excl. crude)"
"16","15132911","151329","Solid palm kernel and babassu oil fractions, whether or not refined, but not chemically modified, in immediate packings of <= 1 kg"
"17","15132919","151329","Solid palm kernel and babassu oil fractions, whether or not refined, but not chemically modified, in immediate packings of > 1 kg or put up otherwise"
"18","15132930","151329","Palm kernel and babassu oil and their liquid fractions, whether or not refined, but not chemically modified, for technical or industrial uses (excl. for manufacture of foodstuffs and crude)"
"19","15132950","151329","Palm kernel and babassu oil and their liquid fractions, whether or not refined, but not chemically modified, in immediate packings of <= 1 kg (excl. for technical or industrial uses and crude)"
"20","15132990","151329","Palm kernel and babassu oil and their liquid fractions, whether or not refined, but not chemically modified, in immediate packings of > 1 kg or put up otherwise (excl. for technical or industrial uses and crude)"
"21","1514","15","Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically modified"
"22","151411","1514","Low erucic acid rape or colza oil ""fixed oil which has an erucic acid content of < 2%"", crude"
"23","15141110","151411","Low erucic acid rape or colza oil ""fixed oil which has an erucic acid content of < 2%"", crude, for technical or industrial uses (excl. for manufacture of foodstuffs for human consumption)"
"24","15141190","151411","Low erucic acid rape or colza oil ""fixed oil which has an erucic acid content of < 2%"", crude (excl. for technical or industrial uses)"
"25","151419","1514","Low erucic acid rape or colza oil ""fixed oil which has an erucic acid content of < 2%"" and its fractions, whether or not refined, but not chemically modified (excl. crude)"
"26","15141910","151419","Low erucic acid rape or colza oil ""fixed oil which has an erucic acid content of < 2%"" and its fractions, whether or not refined, but not chemically modified, for technical or industrial uses (excl. for manufacture of foodstuffs for human consumption and crude)"
"27","15141990","151419","Low erucic acid rape or colza oil ""fixed oil which has an erucic acid content of < 2%"" and its fractions, whether or not refined, but not chemically modified (excl. for technical or industrial uses and crude)"
"28","151491","1514","High erucic acid rape or colza oil ""fixed oil which has an erucic acid content of >= 2%"" and mustard oil, crude"
"29","15149110","151491","High erucic acid rape or colza oil ""fixed oil which has an erucic acid content of >= 2%"", and mustard oil, crude, for technical or industrial uses (excl. for manufacture of foodstuffs for human consumption)"
"30","15149190","151491","High erucic acid rape or colza oil ""fixed oil which has an erucic acid content of >= 2%"", and mustard oil, crude (excl. for technical or industrial uses)"
"31","151499","1514","High erucic acid rape or colza oil ""fixed oil which has an erucic acid content of >= 2%"", and mustard oil, and fractions thereof, whether or not refined, but not chemically modified (excl. crude)"
"32","15149910","151499","High erucic acid rape or colza oil ""fixed oil which has an erucic acid content of >= 2%"", and mustard oil, and fractions thereof, whether or not refined, but not chemically modified, for technical or industrial uses (excl. for manufacture of foodstuffs for human consumption and crude)"
"33","15149990","151499","High erucic acid rape or colza oil ""fixed oil which has an erucic acid content of >= 2%"", and mustard oil, and fractions thereof, whether or not refined, but not chemically modified (excl. for technical or industrial uses and crude)"
"34","1515","15","Fixed vegetable fats and oils, incl. jojoba oil, and their fractions, whether or not refined, but not chemically modified (excl. soya-bean, groundnut, olive, palm, sunflower-seed, safflower, cotton-seed, coconut, palm kernel, babassu, rape, colza and mustard oil)"
"35","15151100","1515","Crude linseed oil"
"36","151519","1515","Linseed oil and fractions thereof, whether or not refined, but not chemically modified (excl. crude)"
"37","15151910","151519","Linseed oil and fractions thereof, whether or not refined, but not chemically modified, for technical or industrial uses (excl. crude and for manufacture of foodstuffs)"
"38","15151990","151519","Linseed oil and fractions thereof, whether or not refined, but not chemically modified (excl. for technical or industrial uses and crude)"
"39","151521","1515","Crude maize oil"
"40","15152110","151521","Crude maize oil, for technical or industrial uses (excl. for manufacture of foodstuffs)"
"41","15152190","151521","Crude maize oil (excl. for technical or industrial uses)"
"42","151529","1515","Maize oil and fractions thereof, whether or not refined, but not chemically modified (excl. crude)"
"43","95030099","950300","Toys, n.e.s."
"44","0102","01","Live bovine animals"
"45","01021010","0102","Pure-bred breeding heifers /female bovines that have never calved/"
"46","01021030","0102","Pure-bred breeding cows (excl. heifers)"
"47","01021090","0102","Pure-bred breeding bovines (excl. heifers and cows)"
"48","010221","0102","Pure-bred cattle for breeding"
"49","01022110","010221","Pure-bred breeding heifers ""female bovines that have never calved"""
"50","01022130","010221","Pure-bred breeding cows (excl. heifers)"
"51","01022190","010221","Pure-bred cattle for breeding (excl. heifers and cows)"
"52","010229","0102","Live cattle (excl. pure-bred for breeding)"
"53","01022905","010229","Live cattle of the sub-genus Bibos or Poephagus (excl. pure-bred for breeding)"
"54","01022910","010229","Live cattle of a weight <= 80 kg (excl. pure-bred for breeding)"
"55","01022921","010229","Cattle of a weight > 80 kg but <= 160 kg, for slaughter"
"56","01022929","010229","Live cattle of a weight > 80 kg but <= 160 kg (excl. for slaughter, pure-bred for breeding)"
"57","01022941","010229","Cattle of a weight > 160 kg but <= 300 kg, for slaughter"
"58","01022949","010229","Live cattle of a weight > 160 kg but <= 300 kg (excl. for slaughter, pure-bred for breeding)"
"59","01022951","010229","Heifers ""female bovines that have never calved"" of a weight > 300 kg, for slaughter"
"60","01022959","010229","Live heifers ""female bovines that have never calved"" of a weight > 300 kg (excl. for slaughter and pure-bred for breeding)"
"61","01022961","010229","Cows of a weight > 300 kg, for slaughter (excl. heifers)"
"62","01022969","010229","Live cows of a weight > 300 kg (excl. for slaughter and pure-bred for breeding and heifers)"
"63","01022991","010229","Cattle of a weight > 300 kg, for slaughter (excl. heifers and cows)"
"64","01022999","010229","Live cattle of a weight > 300 kg (excl. for slaughter, pure-bred for breeding and heifers and cows)"
"65","01023100","0102","Pure-bred buffalo for breeding"
"66","010239","0102","Live buffalo (excl. pure-bred for breeding)"
"67","01023910","010239","Live domestic buffalo (excl. pure-bred for breeding)"
"68","01023990","010239","Live buffalo (excl. domestic species and pure-bred for breeding)"
"69","010290","0102","Live bovine animals (excl. cattle and buffalo)"
"70","01029005","010290","Live domestic bovines of a weight <= 80 kg (excl. pure-bred breeding animals)"
"71","01029020","010290","Bovine pure-bred breeding animals (excl. cattle and buffalo)"
"72","01029021","010290","Domestic bovines of a weight of > 80 kg and <= 160 kg, for slaughter"
"73","01029029","010290","Live domestic bovines of a weight of > 80 kg and <= 160 kg (excl. animals for slaughter and pure-bred bree..."
