"","period","trade_flow","reporter_code","reporter","partner_code","partner","commodity_code","netweight_kg","trade_value_usd"
"1",201403,"Imports",498,"Rep. of Moldova",0,"World","0905",NA,176
"2",201403,"Imports",498,"Rep. of Moldova",276,"Germany","0905",NA,55
"3",201403,"Imports",498,"Rep. of Moldova",450,"Madagascar","0905",1,121
"4",201403,"Imports",498,"Rep. of Moldova",0,"World","090500",NA,176
"5",201403,"Imports",498,"Rep. of Moldova",276,"Germany","090500",NA,55
"6",201403,"Imports",498,"Rep. of Moldova",450,"Madagascar","090500",1,121
"7",201403,"Imports",152,"Chile",276,"Germany","0905",6,469
"8",201403,"Exports",702,"Singapore",0,"World","0905",2303,96268
"9",201403,"Exports",702,"Singapore",96,"Brunei Darussalam","0905",45,593
"10",201403,"Exports",702,"Singapore",344,"China, Hong Kong SAR","0905",331,9101
"11",201403,"Exports",702,"Singapore",360,"Indonesia","0905",1000,73353
"12",201403,"Exports",702,"Singapore",458,"Malaysia","0905",927,13207
"13",201403,"Exports",702,"Singapore",826,"United Kingdom","0905",0,13
"14",201403,"Exports",702,"Singapore",0,"World","090510",1258,22321
"15",201403,"Exports",702,"Singapore",344,"China, Hong Kong SAR","090510",331,9101
"16",201403,"Exports",702,"Singapore",458,"Malaysia","090510",927,13207
"17",201403,"Exports",702,"Singapore",826,"United Kingdom","090510",0,13
"18",201403,"Exports",702,"Singapore",0,"World","090520",1045,73947
"19",201403,"Exports",702,"Singapore",96,"Brunei Darussalam","090520",45,593
"20",201403,"Exports",702,"Singapore",360,"Indonesia","090520",1000,73353
"21",201403,"Imports",152,"Chile",0,"World","0905",6,469
"22",201403,"Imports",152,"Chile",0,"World","090510",6,469
"23",201403,"Imports",152,"Chile",276,"Germany","090510",6,469
"24",201403,"Imports",620,"Portugal",0,"World","0905",969,33884
"25",201403,"Imports",620,"Portugal",40,"Austria","0905",32,413
"26",201403,"Imports",620,"Portugal",251,"France","0905",549,22829
"27",201403,"Imports",620,"Portugal",276,"Germany","0905",30,3948
"28",201403,"Imports",620,"Portugal",450,"Madagascar","0905",1,169
"29",201403,"Imports",620,"Portugal",724,"Spain","0905",43,3660
"30",201403,"Imports",620,"Portugal",826,"United Kingdom","0905",314,2865
"31",201403,"Imports",620,"Portugal",0,"World","090510",653,31542
"32",201403,"Imports",620,"Portugal",40,"Austria","090510",32,413
"33",201403,"Imports",620,"Portugal",251,"France","090510",549,22829
"34",201403,"Imports",620,"Portugal",276,"Germany","090510",30,3948
"35",201403,"Imports",620,"Portugal",450,"Madagascar","090510",1,169
"36",201403,"Imports",620,"Portugal",724,"Spain","090510",32,3598
"37",201403,"Imports",620,"Portugal",826,"United Kingdom","090510",9,586
"38",201403,"Imports",620,"Portugal",0,"World","090520",316,2341
"39",201403,"Imports",620,"Portugal",724,"Spain","090520",11,62
"40",201403,"Imports",620,"Portugal",826,"United Kingdom","090520",305,2279
"41",201404,"Imports",702,"Singapore",0,"World","0905",9011,57198
"42",201404,"Imports",702,"Singapore",36,"Australia","0905",5,259
"43",201404,"Imports",702,"Singapore",251,"France","0905",211,24694
"44",201404,"Imports",702,"Singapore",258,"French Polynesia","0905",1,160
"45",201404,"Imports",702,"Singapore",276,"Germany","0905",31,42
"46",201404,"Imports",702,"Singapore",360,"Indonesia","0905",1000,1746
"47",201404,"Imports",702,"Singapore",392,"Japan","0905",2,11
"48",201404,"Imports",702,"Singapore",450,"Madagascar","0905",30,5219
"49",201404,"Imports",702,"Singapore",458,"Malaysia","0905",3360,4542
"50",201404,"Imports",702,"Singapore",490,"Other Asia, nes","0905",9,13
"51",201404,"Imports",702,"Singapore",842,"United States of America","0905",4363,20513
"52",201404,"Imports",702,"Singapore",0,"World","090510",274,29959
"53",201404,"Imports",702,"Singapore",36,"Australia","090510",5,259
"54",201404,"Imports",702,"Singapore",251,"France","090510",205,24108
"55",201404,"Imports",702,"Singapore",258,"French Polynesia","090510",1,160
"56",201404,"Imports",702,"Singapore",276,"Germany","090510",31,41
"57",201404,"Imports",702,"Singapore",450,"Madagascar","090510",30,5219
"58",201404,"Imports",702,"Singapore",842,"United States of America","090510",2,174
"59",201404,"Imports",702,"Singapore",0,"World","090520",8737,27238
"60",201404,"Imports",702,"Singapore",251,"France","090520",6,586
"61",201404,"Imports",702,"Singapore",276,"Germany","090520",0,2
"62",201404,"Imports",702,"Singapore",360,"Indonesia","090520",1000,1746
"63",201404,"Imports",702,"Singapore",392,"Japan","090520",2,11
"64",201404,"Imports",702,"Singapore",458,"Malaysia","090520",3360,4542
"65",201404,"Imports",702,"Singapore",490,"Other Asia, nes","090520",9,13
"66",201404,"Imports",702,"Singapore",842,"United States of America","090520",4361,20339
"67",201404,"Imports",352,"Iceland",764,"Thailand","090510",15,2420
"68",201403,"Exports",620,"Portugal",0,"World","0905",NA,110405
"69",201403,"Exports",620,"Portugal",24,"Angola","0905",8,540
"70",201403,"Exports",620,"Portugal",132,"Cabo Verde","0905",268,6976
"71",201403,"Exports",620,"Portugal",251,"France","0905",522,99213
"72",201403,"Exports",620,"Portugal",442,"Luxembourg","0905",NA,22
"73",201403,"Exports",620,"Portugal",678,"Sao Tome and Principe","0905",NA,32
"74",201403,"Exports",620,"Portugal",724,"Spain","0905",21,2813
"75",201403,"Exports",620,"Portugal",752,"Sweden","0905",50,809
"76",201403,"Exports",620,"Portugal",0,"World","090510",551,102566
"77",201403,"Exports",620,"Portugal",24,"Angola","090510",8,540
"78",201403,"Exports",620,"Portugal",251,"France","090510",522,99213
"79",201403,"Exports",620,"Portugal",724,"Spain","090510",21,2813
"80",201403,"Exports",620,"Portugal",0,"World","090520",NA,7839
"81",201403,"Exports",620,"Portugal",132,"Cabo Verde","090520",268,6976
"82",201403,"Exports",620,"Portugal",442,"Luxembourg","090520",NA,22
"83",201403,"Exports",620,"Portugal",678,"Sao Tome and Principe","090520",NA,32
"84",201403,"Exports",620,"Portugal",752,"Sweden","090520",50,809
"85",201404,"Imports",352,"Iceland",0,"World","0905",85,3955
"86",201404,"Imports",352,"Iceland",156,"China","0905",8,270
"87",201404,"Imports",352,"Iceland",450,"Madagascar","0905",11,1086
"88",201404,"Imports",352,"Iceland",764,"Thailand","0905",15,2420
"89",201404,"Imports",352,"Iceland",842,"United States of America","0905",51,178
"90",201404,"Imports",352,"Iceland",0,"World","090510",74,3627
"91",201404,"Imports",352,"Iceland",450,"Madagascar","090510",8,1029
"92",201404,"Imports",352,"Iceland",842,"United States of America","090510",51,178
"93",201404,"Imports",352,"Iceland",0,"World","090520",11,328
"94",201404,"Imports",352,"Iceland",156,"China","090520",8,270
"95",201404,"Imports",352,"Iceland",450,"Madagascar","090520",3,57
"96",201404,"Exports",428,"Latvia",0,"World","090510",NA,4165
"97",201404,"Exports",428,"Latvia",0,"World","0905",NA,4165
"98",201404,"Exports",428,"Latvia",233,"Estonia","0905",NA,251
"99",201404,"Exports",428,"Latvia",440,"Lithuania","0905",NA,209
"100",201404,"Exports",428,"Latvia",643,"Russian Federation","0905",30,3705
"101",201404,"Exports",428,"Latvia",233,"Estonia","090510",NA,251
"102",201404,"Exports",428,"Latvia",440,"Lithuania","090510",NA,209
"103",201404,"Exports",428,"Latvia",643,"Russian Federation","090510",30,3705
"104",201404,"Imports",710,"South Africa",0,"World","0905",1644,96481
"105",201404,"Imports",710,"South Africa",251,"France","0905",22,1572
