partner,United Kingdom,Bangladesh,Belgium,Cameroon,Canada,Argentina,Belize,Brazil,Chile,China,Cocos Isds,Colombia,Costa Rica,Cuba,Cyprus,Denmark,Austria,Albania,Bosnia Herzegovina,Bulgaria,Croatia,Czech Rep.,Dominica,Dominican Rep.,Ecuador,Egypt,Estonia,Finland,France,Algeria,"Areas, nes",Germany,Ghana,Greece,Guatemala,Honduras,Hungary,Iceland,India,Iran,Ireland,Israel,Italy,Japan,Jordan,Kenya,Latvia,Lebanon,Lithuania,Belarus,Benin,Burkina Faso,Burundi,Central African Rep.,Côte d'Ivoire,Guinea,Kazakhstan,Afghanistan,Azerbaijan,Kyrgyzstan,Liberia,Luxembourg,Malta,Mauritius,Mexico,Morocco,Mozambique,Namibia,Nepal,Netherlands,Cambodia,New Zealand,Australia,Nicaragua,Niger,Norway,"Other Asia, nes","Other Europe, nes",Pakistan,Panama,Peru,Philippines,Poland,Dem.Rep. of the Congo,Ethiopia,Portugal,Rep. of Korea,Romania,Russian Federation,Armenia,Br. Virgin Isds,Georgia,Rep. of Moldova,Rwanda,Saint-Barthélemy,San Marino,Saudi Arabia,Senegal,Serbia,Seychelles,Cayman Isds,Oman,Singapore,"China, Hong Kong SAR",Indonesia,Malaysia,Slovakia,Heard Island and McDonald Islands,Slovenia,Fiji,South Africa,Spain,Sri Lanka,Suriname,Swaziland,Sweden,Switzerland,Eritrea,TFYR of Macedonia,Tajikistan,Thailand,Tunisia,Turkey,Turkmenistan,Uganda,Ukraine,United Arab Emirates,United Rep. of Tanzania,United States of America,Uzbekistan,Viet Nam,Yemen,Zambia,Zimbabwe
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,10940.0,,386427.0,2514085.0,206308.0,,,,,,795.0,,,,,,,114768.0,,,23503.0,,,,,,5470.0,,,,,,,124600.0,,,,,,,,,,,,,,,,,,,,,,,,,,9631.0,,,,,,,134041.0,,,,,508656.0,2776.0,,,,3086.0,,,,,,3837032.0,,,,,,,,85581.0,,65586.0,,,,,,,13019.0,,,2210035.0,,,,,,,26321.0,,,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4184.0,,,,,15012.0,,,,,,,,,,,,,,,,,
"Areas, nes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,5963761.0,,,,,,,,,,,,238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10812.0,,,,,,8.0,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1078.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2582788.0,,,166671.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439755.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8049.0,,,164879.0,424235.0,3773.0,234627.0,,,,719.0,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,8253.0,,,,,41251.0,,,,,,,,917559.0,,,,,60432.0,,,392933.0,,,,,,6300512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,521550.0,,,,,,,,,,,,,417344.0,,,,,5559.0,,,,,,,,,,,,,,,38.0,,,,699627.0,,2177695.0,,,71658.0,,,,280.0,2224551.0,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2511.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21993015.0,,,3804.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,1325.0,,224.0,,,,,,,,,,,,,,,,,,,,,,,,,453.0,6667.0,,,,,,,,,,,,280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,,,,,,,,,,,,,,,,,1435.0,,,7563.0,,,,,,,,,,,139.0,,,,,,,,,,,,,,,,,
