"","trade_flow","reporter_code","reporter","partner_code","partner","commodity_code","netweight_kg","trade_value_usd","price_kg_usd","period_date"
"1","Imports",688,"Serbia",616,"Poland","020714",21000,9577,0.456047619047619,2014-03-01
"2","Imports",826,"United Kingdom",616,"Poland","020711",441437,1317241,2.98398412457497,2014-03-01
"3","Imports",826,"United Kingdom",616,"Poland","020712",64679,148553,2.29677329581472,2014-03-01
"4","Imports",826,"United Kingdom",616,"Poland","020713",2167605,9847560,4.54306019777589,2014-03-01
"5","Imports",826,"United Kingdom",616,"Poland","020714",1412990,6297020,4.45652127757451,2014-03-01
"6","Exports",428,"Latvia",616,"Poland","020711",115757,246681,2.13102447368194,2014-04-01
"7","Exports",428,"Latvia",616,"Poland","020713",22951,49619,2.16195372750643,2014-04-01
"8","Exports",428,"Latvia",616,"Poland","020714",3450,5974,1.73159420289855,2014-04-01
"9","Imports",620,"Portugal",616,"Poland","020711",9359,49665,5.30665669409125,2014-04-01
"10","Imports",620,"Portugal",616,"Poland","020713",2545,12676,4.98074656188605,2014-04-01
"11","Imports",620,"Portugal",616,"Poland","020714",28800,98429,3.41767361111111,2014-04-01
"12","Imports",70,"Bosnia Herzegovina",616,"Poland","020714",214120,116024,0.541864375116757,2014-03-01
"13","Imports",300,"Greece",616,"Poland","020712",672,2311,3.4389880952381,2014-04-01
"14","Imports",300,"Greece",616,"Poland","020714",10108,32197,3.18529877324891,2014-04-01
"15","Imports",196,"Cyprus",616,"Poland","020714",1963,7249,3.69281711665818,2014-04-01
"16","Imports",191,"Croatia",616,"Poland","020713",201329,610506,3.03237983598985,2014-03-01
"17","Imports",191,"Croatia",616,"Poland","020711",14036,30882,2.20019948703334,2014-03-01
"18","Imports",191,"Croatia",616,"Poland","020714",54201,98059,1.80917326248593,2014-03-01
"19","Imports",203,"Czech Rep.",616,"Poland","020711",1062078,1979123,1.86344411615719,2014-03-01
"20","Imports",203,"Czech Rep.",616,"Poland","020712",106563,222124,2.08443831348592,2014-03-01
"21","Imports",203,"Czech Rep.",616,"Poland","020714",892311,698878,0.783222441503019,2014-03-01
"22","Imports",203,"Czech Rep.",616,"Poland","020713",1826924,4588570,2.51163704675181,2014-03-01
"23","Exports",203,"Czech Rep.",616,"Poland","020711",8040,14827,1.84415422885572,2014-03-01
"24","Exports",203,"Czech Rep.",616,"Poland","020712",48760,103902,2.13088597210829,2014-03-01
"25","Exports",203,"Czech Rep.",616,"Poland","020714",136532,506268,3.70805378958779,2014-03-01
"26","Imports",40,"Austria",616,"Poland","020713",56000,228661,4.08323214285714,2014-03-01
"27","Imports",40,"Austria",616,"Poland","020714",49500,129901,2.62426262626263,2014-03-01
"28","Exports",428,"Latvia",616,"Poland","020711",100465,214538,2.13545015677101,2014-03-01
"29","Exports",428,"Latvia",616,"Poland","020713",27510,55795,2.0281715739731,2014-03-01
"30","Exports",428,"Latvia",616,"Poland","020714",3927,7355,1.87293099057805,2014-03-01
"31","Imports",442,"Luxembourg",616,"Poland","020713",174,1157,6.64942528735632,2014-03-01
"32","Imports",442,"Luxembourg",616,"Poland","020714",66,596,9.03030303030303,2014-03-01
"33","Imports",203,"Czech Rep.",616,"Poland","020711",1045395,1992633,1.90610534773937,2014-04-01
"34","Imports",203,"Czech Rep.",616,"Poland","020712",39967,71659,1.79295418720444,2014-04-01
"35","Imports",203,"Czech Rep.",616,"Poland","020713",2020342,5335074,2.64067865737583,2014-04-01
"36","Imports",203,"Czech Rep.",616,"Poland","020714",783992,575843,0.73450111735834,2014-04-01
"37","Exports",203,"Czech Rep.",616,"Poland","020711",36384,70202,1.9294744942832,2014-04-01
"38","Exports",203,"Czech Rep.",616,"Poland","020712",28818,45312,1.57235061419946,2014-04-01
"39","Exports",203,"Czech Rep.",616,"Poland","020713",17860,50152,2.80806270996641,2014-04-01
"40","Exports",203,"Czech Rep.",616,"Poland","020714",84340,350468,4.15541854398862,2014-04-01
"41","Imports",752,"Sweden",616,"Poland","020714",26000,100237,3.85526923076923,2014-03-01
"42","Exports",440,"Lithuania",616,"Poland","020711",127033,274108,2.15777002826037,2014-04-01
"43","Exports",440,"Lithuania",616,"Poland","020713",33563,70937,2.11354765664571,2014-04-01
"44","Exports",440,"Lithuania",616,"Poland","020714",4233,6088,1.43822348216395,2014-04-01
"45","Imports",440,"Lithuania",616,"Poland","020711",527306,1044942,1.98166150205004,2014-04-01
"46","Imports",440,"Lithuania",616,"Poland","020712",53826,108432,2.01449113811169,2014-04-01
"47","Imports",440,"Lithuania",616,"Poland","020714",338683,433939,1.28125415211274,2014-04-01
"48","Imports",440,"Lithuania",616,"Poland","020713",905417,1835013,2.02670482219795,2014-04-01
"49","Exports",826,"United Kingdom",616,"Poland","020713",82123,86441,1.05257966708474,2014-03-01
"50","Exports",826,"United Kingdom",616,"Poland","020714",72723,295180,4.05896346410352,2014-03-01
"51","Exports",705,"Slovenia",616,"Poland","020714",21904,40030,1.82752008765522,2014-04-01
"52","Imports",40,"Austria",616,"Poland","020711",100,163,1.63,2015-12-01
"53","Imports",40,"Austria",616,"Poland","020712",16000,33207,2.0754375,2015-12-01
"54","Imports",112,"Belarus",616,"Poland","020714",165560,160700,0.970645083353467,2014-03-01
"55","Imports",246,"Finland",616,"Poland","020713",2494,16212,6.50040096230954,2014-03-01
"56","Imports",246,"Finland",616,"Poland","020714",78,200,2.56410256410256,2014-03-01
"57","Imports",56,"Belgium",616,"Poland","020713",168900,631135,3.73673771462404,2014-03-01
"58","Imports",56,"Belgium",616,"Poland","020714",216700,949516,4.38170742962621,2014-03-01
"59","Exports",56,"Belgium",616,"Poland","020714",4100,3013,0.734878048780488,2014-03-01
"60","Imports",804,"Ukraine",616,"Poland","020714",775154,611118,0.78838269556759,2014-04-01
"61","Imports",826,"United Kingdom",616,"Poland","020711",404197,1068526,2.64357726554131,2014-04-01
"62","Imports",826,"United Kingdom",616,"Poland","020712",38932,108819,2.7951042843933,2014-04-01
"63","Imports",826,"United Kingdom",616,"Poland","020713",2051308,9342993,4.55465147115889,2014-04-01
"64","Imports",826,"United Kingdom",616,"Poland","020714",1184326,5209744,4.39891043513357,2014-04-01
"65","Exports",826,"United Kingdom",616,"Poland","020711",18079,3162,0.174899054151225,2014-04-01
"66","Exports",826,"United Kingdom",616,"Poland","020713",82321,77880,0.94605264756259,2014-04-01
"67","Exports",826,"United Kingdom",616,"Poland","020714",40747,290846,7.13785063931087,2014-04-01
"68","Imports",100,"Bulgaria",616,"Poland","020711",1661500,2858915,1.72068311766476,2014-03-01
"69","Imports",100,"Bulgaria",616,"Poland","020712",244100,301282,1.23425645227366,2014-03-01
"70","Imports",100,"Bulgaria",616,"Poland","020713",642700,898194,1.39753228566983,2014-03-01
"71","Imports",100,"Bulgaria",616,"Poland","020714",789100,763151,0.967115701432011,2014-03-01
"72","Imports",251,"France",616,"Poland","020711",400,1133,2.8325,2014-03-01
"73","Imports",251,"France",616,"Poland","020712",103867,345205,3.32352912859715,2014-03-01
"74","Imports",251,"France",616,"Poland","020714",2632436,8060362,3.0619403472677,2014-03-01
"75","Imports",251,"France",616,"Poland","020713",940223,3841879,4.08613594859943,2014-03-01
"76","Imports",112,"Belarus",616,"Poland","020714",121950,105100,0.861828618286183,2014-04-01
"77","Exports",251,"France",616,"Poland","020711",45,270,6,2014-03-01
"78","Exports",251,"France",616,"Poland","020714",30019,57720,1.92278223791599,2014-03-01
"79","Imports",442,"Luxembourg",616,"Poland","020713",12382,61013,4.92755612986593,2014-04-01
"80","Imports",442,"Luxembourg",616,"Poland","020714",36,347,9.63888888888889,2014-04-01
"81","Imports",276,"Germany",616,"Poland","020712",77700,165687,2.13239382239382,2014-03-01
"82","Imports",276,"Germany",616,"Poland","020711",NA,157352,NA,2014-03-01
"83","Imports",276,"Germany",616,"Poland","020713",1410300,4384678,3.10903921151528,2014-03-01
"84","Imports",276,"Germany",616,"Poland","020714",608600,1877552,3.08503450542228,2014-03-01
"85","Imports",688,"Serbia",616,"Poland","020714",26500,15587,0.588188679245283,2014-04-01
"86","Exports",276,"Germany",616,"Poland","020711",400,2972,7.43,2014-03-01
"87","Exports",276,"Germany",616,"Poland","020712",NA,111,NA,2014-03-01
"88","Exports",276,"Germany",616,"Poland","020713",NA,124566,NA,2014-03-01
"89","Exports",276,"Germany",616,"Poland","020714",NA,247804,NA,2014-03-01
"90","Imports",40,"Austria",616,"Poland","020713",62100,261231,4.20661835748792,2014-04-01
"91","Imports",40,"Austria",616,"Poland","020714",260000,439985,1.69225,2014-04-01
"92","Imports",372,"Ireland",616,"Poland","020711",1111,2513,2.26192619261926,2014-03-01
"93","Imports",372,"Ireland",616,"Poland","020713",73398,335791,4.57493392190523,2014-03-01
"94","Imports",372,"Ireland",616,"Poland","020714",25294,83376,3.29627579663161,2014-03-01
"95","Imports",807,"TFYR of Macedonia",616,"Poland","020714",314260,384576,1.22375103417552,2014-04-01
"96","Exports",40,"Austria",616,"Poland","020711",NA,14,NA,2014-04-01
"97","Exports",40,"Austria",616,"Poland","020713",NA,41,NA,2014-04-01
"98","Exports",40,"Austria",616,"Poland","020714",NA,83,NA,2014-04-01
"99","Imports",381,"Italy",616,"Poland","020713",114223,470419,4.11842623639722,2014-03-01
"100","Imports",381,"Italy",616,"Poland","020714",315502,349702,1.10839867893072,2014-03-01
"101","Imports",56,"Belgium",616,"Poland","020711",3400,18109,5.32617647058824,2014-04-01
