,origin,period,destin,trade_value_usd,period_date
3,Bangladesh,201401,United Kingdom,1325,2014-01-01
4,Canada,201401,United Kingdom,30050,2014-01-01
5,Denmark,201401,United Kingdom,5572,2014-01-01
6,Dominican Rep.,201401,United Kingdom,22275,2014-01-01
7,France,201401,United Kingdom,82626,2014-01-01
8,Germany,201401,United Kingdom,1900136,2014-01-01
9,Ireland,201401,United Kingdom,13273,2014-01-01
10,Italy,201401,United Kingdom,1160,2014-01-01
11,Jordan,201401,United Kingdom,224815,2014-01-01
12,Lebanon,201401,United Kingdom,2524,2014-01-01
13,Netherlands,201401,United Kingdom,2755977,2014-01-01
14,Poland,201401,United Kingdom,16845,2014-01-01
15,Spain,201401,United Kingdom,18466815,2014-01-01
16,Turkey,201401,United Kingdom,69746,2014-01-01
24,Belgium,201402,United Kingdom,12723,2014-02-01
25,Canada,201402,United Kingdom,40874,2014-02-01
26,Denmark,201402,United Kingdom,2167,2014-02-01
27,Dominican Rep.,201402,United Kingdom,25479,2014-02-01
28,France,201402,United Kingdom,69973,2014-02-01
29,Germany,201402,United Kingdom,1781160,2014-02-01
30,Ireland,201402,United Kingdom,15067,2014-02-01
31,Italy,201402,United Kingdom,3728,2014-02-01
32,Jordan,201402,United Kingdom,217803,2014-02-01
33,Lebanon,201402,United Kingdom,4893,2014-02-01
34,Netherlands,201402,United Kingdom,3524446,2014-02-01
35,Poland,201402,United Kingdom,3366,2014-02-01
36,Spain,201402,United Kingdom,15717672,2014-02-01
37,Turkey,201402,United Kingdom,52544,2014-02-01
45,Belgium,201403,United Kingdom,11100,2014-03-01
46,Canada,201403,United Kingdom,43143,2014-03-01
47,Denmark,201403,United Kingdom,2184,2014-03-01
48,Dominican Rep.,201403,United Kingdom,33965,2014-03-01
49,France,201403,United Kingdom,57885,2014-03-01
50,Germany,201403,United Kingdom,1157867,2014-03-01
51,Ireland,201403,United Kingdom,11228,2014-03-01
52,Italy,201403,United Kingdom,16502,2014-03-01
53,Jordan,201403,United Kingdom,160795,2014-03-01
54,Lebanon,201403,United Kingdom,2050,2014-03-01
55,Netherlands,201403,United Kingdom,4881600,2014-03-01
56,Poland,201403,United Kingdom,2194,2014-03-01
57,Spain,201403,United Kingdom,10076083,2014-03-01
58,Turkey,201403,United Kingdom,40158,2014-03-01
66,Belgium,201404,United Kingdom,9224,2014-04-01
67,Canada,201404,United Kingdom,44619,2014-04-01
68,Denmark,201404,United Kingdom,2198,2014-04-01
69,Dominican Rep.,201404,United Kingdom,30109,2014-04-01
70,France,201404,United Kingdom,25976,2014-04-01
71,Germany,201404,United Kingdom,151170,2014-04-01
72,Ireland,201404,United Kingdom,14979,2014-04-01
73,Italy,201404,United Kingdom,3138,2014-04-01
74,Jordan,201404,United Kingdom,50513,2014-04-01
75,Kenya,201404,United Kingdom,1406,2014-04-01
76,Mauritius,201404,United Kingdom,2101,2014-04-01
77,Netherlands,201404,United Kingdom,9905590,2014-04-01
78,Poland,201404,United Kingdom,11802,2014-04-01
79,Spain,201404,United Kingdom,2171389,2014-04-01
80,Turkey,201404,United Kingdom,40137,2014-04-01
86,Canada,201405,United Kingdom,45643,2014-05-01
87,Denmark,201405,United Kingdom,2074,2014-05-01
88,Dominican Rep.,201405,United Kingdom,2804,2014-05-01
89,France,201405,United Kingdom,39941,2014-05-01
90,Germany,201405,United Kingdom,752,2014-05-01
91,Ireland,201405,United Kingdom,46200,2014-05-01
92,Italy,201405,United Kingdom,4133,2014-05-01
93,Jordan,201405,United Kingdom,29200,2014-05-01
94,Kenya,201405,United Kingdom,3988,2014-05-01
95,Lebanon,201405,United Kingdom,2383,2014-05-01
96,Lithuania,201405,United Kingdom,27631,2014-05-01
97,Netherlands,201405,United Kingdom,12708524,2014-05-01
98,Poland,201405,United Kingdom,33227,2014-05-01
99,Spain,201405,United Kingdom,1384393,2014-05-01
100,Turkey,201405,United Kingdom,55231,2014-05-01
105,Belgium,201406,United Kingdom,7401,2014-06-01
106,Canada,201406,United Kingdom,20668,2014-06-01
107,Denmark,201406,United Kingdom,2115,2014-06-01
108,Dominican Rep.,201406,United Kingdom,2578,2014-06-01
109,France,201406,United Kingdom,71877,2014-06-01
110,Germany,201406,United Kingdom,12179,2014-06-01
111,Ireland,201406,United Kingdom,67085,2014-06-01
112,Italy,201406,United Kingdom,5714,2014-06-01
113,Jordan,201406,United Kingdom,35197,2014-06-01
114,Lithuania,201406,United Kingdom,21525,2014-06-01
115,Netherlands,201406,United Kingdom,13471134,2014-06-01
116,Poland,201406,United Kingdom,48881,2014-06-01
117,Spain,201406,United Kingdom,631553,2014-06-01
118,Turkey,201406,United Kingdom,52750,2014-06-01
123,Belgium,201407,United Kingdom,879,2014-07-01
124,Canada,201407,United Kingdom,32061,2014-07-01
125,Denmark,201407,United Kingdom,4070,2014-07-01
126,France,201407,United Kingdom,20275,2014-07-01
127,Germany,201407,United Kingdom,93785,2014-07-01
128,Ireland,201407,United Kingdom,90072,2014-07-01
129,Italy,201407,United Kingdom,3280,2014-07-01
