period,trade_value_usd,origin,destin,period_date
201403,121,Madagascar,Rep. of Moldova,2014-03-01
201403,121,Madagascar,Rep. of Moldova,2014-03-01
201403,469,Germany,Chile,2014-03-01
201403,469,Germany,Chile,2014-03-01
201403,413,Austria,Portugal,2014-03-01
201403,22829,France,Portugal,2014-03-01
201403,3948,Germany,Portugal,2014-03-01
201403,169,Madagascar,Portugal,2014-03-01
201403,3660,Spain,Portugal,2014-03-01
201403,2865,United Kingdom,Portugal,2014-03-01
201403,413,Austria,Portugal,2014-03-01
201403,22829,France,Portugal,2014-03-01
201403,3948,Germany,Portugal,2014-03-01
201403,169,Madagascar,Portugal,2014-03-01
201403,3598,Spain,Portugal,2014-03-01
201403,586,United Kingdom,Portugal,2014-03-01
201403,62,Spain,Portugal,2014-03-01
201403,2279,United Kingdom,Portugal,2014-03-01
201404,259,Australia,Singapore,2014-04-01
201404,24694,France,Singapore,2014-04-01
201404,160,French Polynesia,Singapore,2014-04-01
201404,42,Germany,Singapore,2014-04-01
201404,1746,Indonesia,Singapore,2014-04-01
201404,11,Japan,Singapore,2014-04-01
201404,5219,Madagascar,Singapore,2014-04-01
201404,4542,Malaysia,Singapore,2014-04-01
201404,20513,United States of America,Singapore,2014-04-01
201404,259,Australia,Singapore,2014-04-01
201404,24108,France,Singapore,2014-04-01
201404,160,French Polynesia,Singapore,2014-04-01
201404,41,Germany,Singapore,2014-04-01
201404,5219,Madagascar,Singapore,2014-04-01
201404,174,United States of America,Singapore,2014-04-01
201404,586,France,Singapore,2014-04-01
201404,2,Germany,Singapore,2014-04-01
201404,1746,Indonesia,Singapore,2014-04-01
201404,11,Japan,Singapore,2014-04-01
201404,4542,Malaysia,Singapore,2014-04-01
201404,20339,United States of America,Singapore,2014-04-01
201404,2420,Thailand,Iceland,2014-04-01
201404,270,China,Iceland,2014-04-01
201404,1086,Madagascar,Iceland,2014-04-01
201404,2420,Thailand,Iceland,2014-04-01
201404,178,United States of America,Iceland,2014-04-01
201404,1029,Madagascar,Iceland,2014-04-01
201404,178,United States of America,Iceland,2014-04-01
201404,270,China,Iceland,2014-04-01
201404,57,Madagascar,Iceland,2014-04-01
201404,1572,France,South Africa,2014-04-01
201404,6,"China, Hong Kong SAR",South Africa,2014-04-01
201404,94700,Madagascar,South Africa,2014-04-01
201404,204,United States of America,South Africa,2014-04-01
201404,6,"China, Hong Kong SAR",South Africa,2014-04-01
201404,94700,Madagascar,South Africa,2014-04-01
201404,204,United States of America,South Africa,2014-04-01
201404,1572,France,South Africa,2014-04-01
201403,3351,Australia,United Kingdom,2014-03-01
201403,4129,Turkey,United Kingdom,2014-03-01
201403,765,Belgium,United Kingdom,2014-03-01
201403,2934,China,United Kingdom,2014-03-01
201403,278688,France,United Kingdom,2014-03-01
201403,28737,Germany,United Kingdom,2014-03-01
201403,32587,Uganda,United Kingdom,2014-03-01
201403,9725,United States of America,United Kingdom,2014-03-01
201403,7461,France,United Kingdom,2014-03-01
201403,5906,Germany,United Kingdom,2014-03-01
201403,186,Italy,United Kingdom,2014-03-01
201403,826,Lithuania,United Kingdom,2014-03-01
201403,14687,Madagascar,United Kingdom,2014-03-01
201403,51196,Netherlands,United Kingdom,2014-03-01
201403,454,Poland,United Kingdom,2014-03-01
201403,4651,Uganda,United Kingdom,2014-03-01
201403,2299,United States of America,United Kingdom,2014-03-01
201403,8274,Ireland,United Kingdom,2014-03-01
201403,186,Italy,United Kingdom,2014-03-01
201403,21898,Jamaica,United Kingdom,2014-03-01
201403,826,Lithuania,United Kingdom,2014-03-01
201403,17372,Madagascar,United Kingdom,2014-03-01
201403,68926,Netherlands,United Kingdom,2014-03-01
201403,846,Poland,United Kingdom,2014-03-01
201403,49470,Spain,United Kingdom,2014-03-01
201403,4129,Turkey,United Kingdom,2014-03-01
201403,37239,Uganda,United Kingdom,2014-03-01
201403,12024,United States of America,United Kingdom,2014-03-01
201403,3351,Australia,United Kingdom,2014-03-01
201403,765,Belgium,United Kingdom,2014-03-01
201403,2934,China,United Kingdom,2014-03-01
201403,271227,France,United Kingdom,2014-03-01
201403,22831,Germany,United Kingdom,2014-03-01
201403,8274,Ireland,United Kingdom,2014-03-01
201403,21898,Jamaica,United Kingdom,2014-03-01
201403,2685,Madagascar,United Kingdom,2014-03-01
201403,17731,Netherlands,United Kingdom,2014-03-01
201403,392,Poland,United Kingdom,2014-03-01
201403,49470,Spain,United Kingdom,2014-03-01
201404,7492,Germany,Cyprus,2014-04-01
201404,731,Greece,Cyprus,2014-04-01
201404,7492,Germany,Cyprus,2014-04-01
201404,731,Greece,Cyprus,2014-04-01
201404,1166,France,Madagascar,2014-04-01
201404,1166,France,Madagascar,2014-04-01
201403,28210,Madagascar,Australia,2014-03-01
201403,2799,Vanuatu,Australia,2014-03-01
201403,4288,New Zealand,Australia,2014-03-01
201403,119665,Papua New Guinea,Australia,2014-03-01
201403,4667,United States of America,Australia,2014-03-01
201403,279469,Comoros,Australia,2014-03-01
201403,1401,Fiji,Australia,2014-03-01
201403,22153,Madagascar,Australia,2014-03-01
201403,4288,New Zealand,Australia,2014-03-01
201404,174476,French Polynesia,Japan,2014-04-01
201404,1080173,Madagascar,Japan,2014-04-01
201404,6981,Papua New Guinea,Japan,2014-04-01
201404,13192,United States of America,Japan,2014-04-01
201404,174476,French Polynesia,Japan,2014-04-01
201404,1036318,Madagascar,Japan,2014-04-01
201404,6981,Papua New Guinea,Japan,2014-04-01
201404,13192,United States of America,Japan,2014-04-01
201404,43856,Madagascar,Japan,2014-04-01
201403,119665,Papua New Guinea,Australia,2014-03-01
201403,4509,French Polynesia,Australia,2014-03-01
201403,6057,Madagascar,Australia,2014-03-01
201403,2799,Vanuatu,Australia,2014-03-01
201403,4667,United States of America,Australia,2014-03-01
201403,279469,Comoros,Australia,2014-03-01
201403,1401,Fiji,Australia,2014-03-01
201403,4509,French Polynesia,Australia,2014-03-01
201403,832,United Kingdom,Barbados,2014-03-01
201403,593,United States of America,Barbados,2014-03-01
201403,832,United Kingdom,Barbados,2014-03-01
201403,593,United States of America,Barbados,2014-03-01
201403,347,Germany,Bosnia Herzegovina,2014-03-01
201403,47,Madagascar,Bosnia Herzegovina,2014-03-01
201403,192,Germany,Bosnia Herzegovina,2014-03-01
201403,47,Madagascar,Bosnia Herzegovina,2014-03-01
201403,155,Germany,Bosnia Herzegovina,2014-03-01
201404,2322,Lithuania,Latvia,2014-04-01
201404,4980,France,Latvia,2014-04-01
201404,2322,Lithuania,Latvia,2014-04-01
201404,4980,France,Latvia,2014-04-01
201404,258,Germany,Latvia,2014-04-01
201404,24,United States of America,El Salvador,2014-04-01
201404,24,United States of America,El Salvador,2014-04-01
201403,8234,Madagascar,Czech Rep.,2014-03-01
201404,1546,Australia,New Zealand,2014-04-01
201404,3905,Indonesia,New Zealand,2014-04-01
201404,3780,Malaysia,New Zealand,2014-04-01
201404,914,Vanuatu,New Zealand,2014-04-01
201404,7097,Papua New Guinea,New Zealand,2014-04-01
201404,1121,Australia,New Zealand,2014-04-01
201404,391,Vanuatu,New Zealand,2014-04-01
201404,7097,Papua New Guinea,New Zealand,2014-04-01
201404,425,Australia,New Zealand,2014-04-01
201404,3905,Indonesia,New Zealand,2014-04-01
201404,3780,Malaysia,New Zealand,2014-04-01
201404,522,Vanuatu,New Zealand,2014-04-01
201403,2724,South Africa,Czech Rep.,2014-03-01
201403,56649,Germany,Czech Rep.,2014-03-01
201403,8234,Madagascar,Czech Rep.,2014-03-01
201403,238,Netherlands,Czech Rep.,2014-03-01
201403,2724,South Africa,Czech Rep.,2014-03-01
201403,50742,France,Czech Rep.,2014-03-01
201403,51185,Germany,Czech Rep.,2014-03-01
201403,238,Netherlands,Czech Rep.,2014-03-01
201403,5464,Germany,Czech Rep.,2014-03-01
201403,37,Denmark,Latvia,2014-03-01
201403,205,Germany,Latvia,2014-03-01
201403,37,Denmark,Latvia,2014-03-01
201403,46,Germany,Latvia,2014-03-01
201403,159,Germany,Latvia,2014-03-01
201404,8216,Austria,Croatia,2014-04-01
201404,238,Germany,Croatia,2014-04-01
201404,381,Italy,Croatia,2014-04-01
201404,146,Netherlands,Croatia,2014-04-01
201404,8216,Austria,Croatia,2014-04-01
201404,238,Germany,Croatia,2014-04-01
201404,381,Italy,Croatia,2014-04-01
201404,146,Netherlands,Croatia,2014-04-01
201403,1646,Belgium,Luxembourg,2014-03-01
201403,54,Denmark,Luxembourg,2014-03-01
201403,6831,France,Luxembourg,2014-03-01
201403,1569,Germany,Luxembourg,2014-03-01
201403,2915,Madagascar,Luxembourg,2014-03-01
201403,488,Belgium,Luxembourg,2014-03-01
201403,65,Denmark,Luxembourg,2014-03-01
201403,82,France,Luxembourg,2014-03-01
201403,2134,Belgium,Luxembourg,2014-03-01
201403,119,Denmark,Luxembourg,2014-03-01
201403,6912,France,Luxembourg,2014-03-01
201403,1569,Germany,Luxembourg,2014-03-01
201403,2915,Madagascar,Luxembourg,2014-03-01
201404,2546,Comoros,Finland,2014-04-01
201404,1844,Denmark,Finland,2014-04-01
201404,18708,Germany,Finland,2014-04-01
201404,12606,Madagascar,Finland,2014-04-01
201404,3137,Peru,Finland,2014-04-01
201404,791,United Kingdom,Finland,2014-04-01
201404,18708,Germany,Finland,2014-04-01
201404,2387,Madagascar,Finland,2014-04-01
201404,6049,Austria,Finland,2014-04-01
201404,1736,Sweden,Finland,2014-04-01
201404,791,United Kingdom,Finland,2014-04-01
201404,10219,Madagascar,Finland,2014-04-01
201404,3137,Peru,Finland,2014-04-01
201404,2311,Germany,Czech Rep.,2014-04-01
201404,8723,Madagascar,Czech Rep.,2014-04-01
201404,243,Netherlands,Czech Rep.,2014-04-01
201404,601,India,Czech Rep.,2014-04-01
201404,12,United States of America,Czech Rep.,2014-04-01
201404,1118,France,Czech Rep.,2014-04-01
201404,1244,French Polynesia,Czech Rep.,2014-04-01
201404,2311,Germany,Czech Rep.,2014-04-01
201404,4686,Madagascar,Czech Rep.,2014-04-01
201404,243,Netherlands,Czech Rep.,2014-04-01
201404,601,India,Czech Rep.,2014-04-01
201404,12,United States of America,Czech Rep.,2014-04-01
201404,4037,Madagascar,Czech Rep.,2014-04-01
201404,6049,Austria,Finland,2014-04-01
201404,4989,Sweden,Finland,2014-04-01
201404,3253,Sweden,Finland,2014-04-01
201404,2546,Comoros,Finland,2014-04-01
201404,1844,Denmark,Finland,2014-04-01
201404,1118,France,Czech Rep.,2014-04-01
201404,1244,French Polynesia,Czech Rep.,2014-04-01
201404,290,Austria,Lithuania,2014-04-01
201404,56,Czech Rep.,Lithuania,2014-04-01
201404,74,Denmark,Lithuania,2014-04-01
201404,3028,Estonia,Lithuania,2014-04-01
201404,16364,France,Lithuania,2014-04-01
201404,199,Germany,Lithuania,2014-04-01
201404,223,Latvia,Lithuania,2014-04-01
201404,74,Denmark,Lithuania,2014-04-01
201404,3028,Estonia,Lithuania,2014-04-01
201404,4973,France,Lithuania,2014-04-01
201404,199,Germany,Lithuania,2014-04-01
201404,223,Latvia,Lithuania,2014-04-01
201404,290,Austria,Lithuania,2014-04-01
201404,56,Czech Rep.,Lithuania,2014-04-01
201404,11391,France,Lithuania,2014-04-01
201404,197,Philippines,Montenegro,2014-04-01
201404,197,Philippines,Montenegro,2014-04-01
201404,25,Serbia,Montenegro,2014-04-01
201404,25,Serbia,Montenegro,2014-04-01
201404,1141,France,Slovenia,2014-04-01
201404,22,Germany,Slovenia,2014-04-01
201404,496,Madagascar,Slovenia,2014-04-01
201404,147,Comoros,Slovenia,2014-04-01
201404,498,Costa Rica,Slovenia,2014-04-01
201404,2495,France,Slovenia,2014-04-01
201404,349,Germany,Slovenia,2014-04-01
201404,21,Italy,Slovenia,2014-04-01
201404,1205,Madagascar,Slovenia,2014-04-01
201404,91,India,Slovenia,2014-04-01
201404,1405,United Kingdom,Slovenia,2014-04-01
