period,trade_value_usd,origin,destin,period_date
201404,2356,Canada,Russian Federation,2014-04-01
201404,9742,Denmark,Russian Federation,2014-04-01
201404,1159,Finland,Russian Federation,2014-04-01
201404,607,France,Russian Federation,2014-04-01
201404,1444,Lithuania,Russian Federation,2014-04-01
201404,53079,United States of America,Russian Federation,2014-04-01
201403,1007,Canada,Slovenia,2014-03-01
201403,84,Croatia,Slovenia,2014-03-01
201403,153,Czech Rep.,Slovenia,2014-03-01
201403,667,France,Slovenia,2014-03-01
201403,16519,Germany,Slovenia,2014-03-01
201403,6,Hungary,Slovenia,2014-03-01
201403,234,Italy,Slovenia,2014-03-01
201403,64,Austria,Slovenia,2014-03-01
201403,3538,Canada,Portugal,2014-03-01
201403,1471,United Kingdom,Portugal,2014-03-01
201403,3233,United States of America,Portugal,2014-03-01
201404,16668,Canada,Sweden,2014-04-01
201404,14833,France,Sweden,2014-04-01
201404,12845,Germany,Sweden,2014-04-01
201403,30012,Belgium,United Kingdom,2014-03-01
201403,1102499,Canada,United Kingdom,2014-03-01
201403,32,Denmark,United Kingdom,2014-03-01
201403,86730,Estonia,United Kingdom,2014-03-01
201403,1237,France,United Kingdom,2014-03-01
201403,308,Ireland,United Kingdom,2014-03-01
201403,314770,Lithuania,United Kingdom,2014-03-01
201403,15211,Netherlands,United Kingdom,2014-03-01
201403,4251,United States of America,United Kingdom,2014-03-01
201404,4509,Austria,Italy,2014-04-01
201404,138182,Canada,Italy,2014-04-01
201404,83093,France,Italy,2014-04-01
201404,39935,Germany,Italy,2014-04-01
201404,40777,Netherlands,Italy,2014-04-01
201404,351597,United Kingdom,Italy,2014-04-01
201404,178,Germany,Portugal,2014-04-01
201404,1283,Spain,Portugal,2014-04-01
201404,2301,United Kingdom,Portugal,2014-04-01
201404,1642,United States of America,Portugal,2014-04-01
201502,6997,Canada,Malaysia,2015-02-01
201502,1254,United States of America,Malaysia,2015-02-01
201502,2597,Austria,Slovenia,2015-02-01
201502,377,Canada,Slovenia,2015-02-01
201502,52,Croatia,Slovenia,2015-02-01
201502,648,France,Slovenia,2015-02-01
201502,6606,Germany,Slovenia,2015-02-01
201502,108,Italy,Slovenia,2015-02-01
201502,110,Mexico,Slovenia,2015-02-01
201403,1033942,Canada,Australia,2014-03-01
201403,29511,New Zealand,Australia,2014-03-01
201403,8284,United States of America,Australia,2014-03-01
201403,494,United Kingdom,Barbados,2014-03-01
201403,5606,United States of America,Barbados,2014-03-01
201404,1046,Costa Rica,El Salvador,2014-04-01
201404,4766,Guatemala,El Salvador,2014-04-01
201404,915,United States of America,El Salvador,2014-04-01
201404,25492,Canada,Mexico,2014-04-01
201403,39808,Germany,Czech Rep.,2014-03-01
201403,185,Slovakia,Czech Rep.,2014-03-01
201403,1217,United Kingdom,Czech Rep.,2014-03-01
201404,353,China,Mexico,2014-04-01
201404,10,Guatemala,Mexico,2014-04-01
201404,55132,United States of America,Mexico,2014-04-01
201404,48775,Canada,New Zealand,2014-04-01
201404,563,Thailand,New Zealand,2014-04-01
201404,7392,United States of America,New Zealand,2014-04-01
201403,162966,Canada,Czech Rep.,2014-03-01
201403,16772,Denmark,Czech Rep.,2014-03-01
201404,172,United Kingdom,Croatia,2014-04-01
201404,412,Austria,Croatia,2014-04-01
201404,7373,Germany,Croatia,2014-04-01
201403,227,Austria,Luxembourg,2014-03-01
201403,357,Canada,Luxembourg,2014-03-01
201403,1240,France,Luxembourg,2014-03-01
201403,293,United Kingdom,Luxembourg,2014-03-01
201403,822,Belgium,Luxembourg,2014-03-01
201403,5012,Germany,Luxembourg,2014-03-01
201404,9514,Canada,Finland,2014-04-01
201404,67210,France,Finland,2014-04-01
201404,685,Sweden,Finland,2014-04-01
201403,579,Canada,Madagascar,2014-03-01
201404,13499,Canada,Czech Rep.,2014-04-01
201404,95079,Denmark,Czech Rep.,2014-04-01
201404,146,France,Czech Rep.,2014-04-01
201404,28526,Germany,Czech Rep.,2014-04-01
201404,7672,Netherlands,Czech Rep.,2014-04-01
201404,2283,United Kingdom,Czech Rep.,2014-04-01
201404,487,Czech Rep.,Lithuania,2014-04-01
201404,2005,Latvia,Lithuania,2014-04-01
201404,165,United Kingdom,Lithuania,2014-04-01
201404,1518,United Kingdom,Cyprus,2014-04-01
201403,43534,Canada,TFYR of Macedonia,2014-03-01
201404,48,Croatia,Montenegro,2014-04-01
201404,28,Hungary,Slovenia,2014-04-01
201404,296,Italy,Slovenia,2014-04-01
201404,164,Mexico,Slovenia,2014-04-01
201404,4,Poland,Slovenia,2014-04-01
201404,348,Austria,Slovenia,2014-04-01
201404,2831,Canada,Slovenia,2014-04-01
201404,348,Croatia,Slovenia,2014-04-01
201404,195,Czech Rep.,Slovenia,2014-04-01
201404,421,France,Slovenia,2014-04-01
201404,22398,Germany,Slovenia,2014-04-01
201403,94585,Canada,Austria,2014-03-01
201403,64163,Denmark,Austria,2014-03-01
201403,51405,Germany,Austria,2014-03-01
201403,691,Hungary,Austria,2014-03-01
201403,52428,Canada,Belgium,2014-03-01
201403,13186,Denmark,Belgium,2014-03-01
201403,7754,France,Belgium,2014-03-01
201403,387,Germany,Belgium,2014-03-01
201403,49732,Netherlands,Belgium,2014-03-01
201404,8633,United States of America,Malaysia,2014-04-01
201404,46668,Belgium,United Kingdom,2014-04-01
201404,570557,Canada,United Kingdom,2014-04-01
201404,1572,Sri Lanka,United Kingdom,2014-04-01
201404,19783,Denmark,United Kingdom,2014-04-01
201404,306,France,United Kingdom,2014-04-01
201404,97,Ireland,United Kingdom,2014-04-01
201404,3679,Netherlands,United Kingdom,2014-04-01
201404,307086,United States of America,United Kingdom,2014-04-01
201404,561892,Canada,Australia,2014-04-01
201404,4252,China,Australia,2014-04-01
201404,45203,New Zealand,Australia,2014-04-01
201404,83779,United States of America,Australia,2014-04-01
201403,6870,Canada,Bulgaria,2014-03-01
201403,13214,France,Bulgaria,2014-03-01
201403,4368,Germany,Bulgaria,2014-03-01
201404,334,United Kingdom,Barbados,2014-04-01
201404,2427,United States of America,Barbados,2014-04-01
