"","node","period","deg_out_wei","tot_out_wei","ave_out_wei","max_out_wei","deg_in_wei","tot_in_wei","ave_in_wei","max_in_wei","ratio","degree_val","bet_val","tri_no","eigen_val","net_group"
"1","Germany","201401",257,154945450,602900.583657588,16942577,136,126387193,929317.595588235,17751809,-0.10151064126604,68,266,420,0.478702341826852,1
"2","Hungary","201401",251,66587126,265287.354581673,4962904,68,13697409,201432.485294118,1565542,-0.658778393622134,54,497,315,0.0950194749379759,2
"3","Netherlands","201401",245,329793371,1346095.39183673,64531173,84,51224462,609815.023809524,8496328,-0.731117771592596,71,281,448,0.827830375257109,1
"4","Serbia","201401",15,1431530,95435.3333333333,335892,23,608790,26469.1304347826,100233,-0.403240668130489,12,61,44,0.000758130197708916,3
"5","Slovenia","201401",60,7110929,118515.483333333,978551,82,9195295,112137.743902439,2414355,0.127826405426541,31,1538,161,0.0150495167145423,1
"6","Turkey","201401",20,6262339,313116.95,1401926,6,127750,21291.6666666667,48553,-0.960016206347048,10,83,14,0.00777331300745272,4
"7","Jordan","201401",4,341820,85455,170246,0,0,0,0,-1,2,0,0,0.000882119140020128,5
"8","Belgium","201401",162,78443508,484219.185185185,21432124,107,63711851,595437.859813084,11283166,-0.10363068338493,57,370,314,0.340337936570412,1
"9","Brazil","201401",159,459603211,2890586.2327044,88750819,4,1806756,451689,815093,-0.99216854368471,54,476,305,1,6
"10","France","201401",390,90192797,231263.582051282,7062637,166,218570075,1316687.19879518,24594759,0.415779517687606,77,1473,437,0.526455204082055,7
"11","Ghana","201401",2,19920,9960,9960,0,0,0,0,-1,1,0,0,1.46858289454705e-07,8
"12","Italy","201401",178,38449434,216008.056179775,3765138,110,30432738,276661.254545455,7287615,-0.116382741241086,51,1131,306,0.104769810895967,1
"13","Spain","201401",95,37915017,399105.442105263,9053083,92,34203554,371777.760869565,4971924,-0.051463346382723,39,337,213,0.137987404433292,1
"14","Argentina","201401",55,26873168,488603.054545455,4216536,4,2080590,520147.5,991902,-0.856281868488367,25,0,74,0.0463752155370075,9
"15","Chile","201401",27,24113065,893076.481481481,3749750,11,23987646,2180695.09090909,4216536,-0.00260742507527591,14,0,51,0.0998232509705706,10
"16","United States of America","201401",189,387522564,2050383.93650794,86829988,0,0,0,0,-1,39,0,39,0.495055577604416,11
"17","Ireland","201401",63,27929436,443324.380952381,11417536,80,52901142,661264.275,10208299,0.308938852323931,34,1544,188,0.232110067632699,1
"18","New Zealand","201401",18,914668,50814.8888888889,193293,4,8004,2001,3990,-0.982650389304108,8,144,4,0.000341321084886295,12
"19","Uruguay","201401",6,302754,50459,118904,0,0,0,0,-1,3,0,1,0.000269777550636245,10
