"","node","period","deg_out_wei","tot_out_wei","ave_out_wei","max_out_wei","deg_in_wei","tot_in_wei","ave_in_wei","max_in_wei","ratio","degree_val","bet_val","tri_no","eigen_val","net_group"
"1","South Africa","201401",4,11192,2798,5340,1,13944,13944,13944,0.109484404837683,5,49,0,1.27045535076744e-05,1
"2","United States of America","201401",9,700300,77811.1111111111,640153,0,0,0,0,-1,9,0,2,0.000114576702903381,2
"3","Venezuela","201401",1,9095,9095,9095,0,0,0,0,-1,1,0,0,7.51003560358156e-12,2
"4","Ecuador","201401",4,3916,979,3557,0,0,0,0,-1,4,0,1,4.57685013043174e-06,3
"5","Germany","201401",23,8654678,376290.347826087,1900136,17,50438213,2966953.70588235,37359083,0.70708226138403,40,724,163,0.774109889573435,3
"6","Greece","201401",18,7977762,443209,3485031,4,28255,7063.75,21852,-0.992941558830065,22,366,73,0.0527080425207195,3
"7","Italy","201401",24,819919,34163.2916666667,205457,8,2069946,258743.25,1742648,0.432555499997405,32,843,96,0.0400495845664277,3
"8","Latvia","201401",4,295024,73756,196117,7,1024540,146362.857142857,803936,0.552846243153041,11,0,29,0.01566074659062,3
"9","Morocco","201401",15,3231030,215402,1629430,0,0,0,0,-1,15,0,34,0.0355802542088464,3
"10","Netherlands","201401",28,16792186,599720.928571429,7493435,10,24901591,2490159.1,24154497,0.19449916950436,38,464,133,0.568677940149919,3
"11","Spain","201401",36,134391311,3733091.97222222,37359083,11,1928932,175357.454545455,1629430,-0.971699991761312,47,476,160,1,3
"12","Turkey","201401",25,19487766,779510.64,12199143,0,0,0,0,-1,25,0,74,0.0211313803113845,3
"13","Australia","201401",4,17338,4334.5,8696,0,0,0,0,-1,4,0,4,6.21293630905666e-09,2
"14","China","201401",4,6066247,1516561.75,4956771,0,0,0,0,-1,4,0,2,0.00671129201157023,2
"15","France","201401",18,1915232,106401.777777778,617608,20,12316675,615833.75,10242572,0.730853778063614,38,1074,117,0.204941349208405,3
"16","Japan","201401",2,30753,15376.5,26568,1,3762,3762,3762,-0.782007822685789,3,1,1,1.45119533206856e-08,2
"17","Rep. of Korea","201401",2,21801,10900.5,18039,0,0,0,0,-1,2,0,1,9.25945606778093e-09,2
"18","Malaysia","201401",2,888087,444043.5,884230,8,203720,25465,187071,-0.626820491167395,10,6,13,1.64754064822574e-05,3
"19","New Zealand","201401",2,372,186,213,0,0,0,0,-1,2,0,0,8.16064434216394e-11,2
"20","Thailand","201401",4,250362,62590.5,187071,0,0,0,0,-1,4,0,2,9.20572088794937e-08,2
"21","Austria","201401",8,293289,36661.125,242258,1,743242,743242,743242,0.434095072892176,9,0,22,0.00364294934033654,3
"22","Slovakia","201401",5,68234,13646.8,41739,10,1140581,114058.1,457349,0.887105967414369,15,103,38,0.0141366021193504,3
"23","Croatia","201401",2,717,358.5,501,5,205340,41068,99977,0.993040760566251,7,0,9,0.00249661094647692,3
"24","Slovenia","201401",3,58519,19506.3333333333,58196,7,284492,40641.7142857143,116627,0.658792283629388,10,780,12,0.0027327293279314,3
"25","Indonesia","201401",2,2801,1400.5,2042,1,664,664,664,-0.616738816738817,3,1,3,6.50458342341802e-10,2
"26","India","201401",6,628156,104692.666666667,486350,0,0,0,0,-1,6,0,1,8.13186934077533e-07,4
"27","Viet Nam","201401",3,1372,457.333333333333,1254,0,0,0,0,-1,3,0,1,4.14105087293743e-10,3
"28","Iran","201401",7,17438287,2491183.85714286,17059281,0,0,0,0,-1,7,0,2,0.0230856472096009,4
"29","Uzbekistan","201401",2,75568,37784,66769,0,0,0,0,-1,2,0,1,1.2174192373473e-05,4
"30","Bulgaria","201401",5,1732921,346584.2,1213591,3,1220341,406780.333333333,691470,-0.173564011591251,8,97,18,0.00861050317590871,3
"31","Belarus","201401",1,424464,424464,424464,4,1451500,362875,712700,0.547471060212243,5,0,7,0.013624876936803,4
"32","Czech Rep.","201401",4,482415,120603.75,405620,10,4061476,406147.6,2185054,0.787664360786823,14,15,48,0.0510994575337621,3
"33","Lithuania","201401",3,3759729,1253243,3686331,9,5011778,556864.222222222,3030595,0.14274046637596,12,49,43,0.0652645939959321,3
