"","trade_flow","reporter_code","reporter","partner_code","partner","commodity_code","netweight_kg","trade_value_usd","price_kg_usd","period_date"
"1","Imports",372,"Ireland",76,"Brazil","160250",24103,163652,6.78969422893416,2014-03-01
"2","Imports",620,"Portugal",76,"Brazil","160250",3404,27434,8.0593419506463,2014-03-01
"3","Imports",826,"United Kingdom",76,"Brazil","160250",2326228,11683154,5.02235980308035,2014-03-01
"4","Imports",152,"Chile",76,"Brazil","160250",136102,849027,6.23816696301303,2014-03-01
"5","Imports",352,"Iceland",76,"Brazil","160250",99,1347,13.6060606060606,2014-03-01
"6","Imports",458,"Malaysia",76,"Brazil","160250",408,2129,5.21813725490196,2015-02-01
"7","Imports",36,"Australia",76,"Brazil","160250",19976,81757,4.09276131357629,2014-03-01
"8","Imports",52,"Barbados",76,"Brazil","160250",22460,83175,3.70325022261799,2014-03-01
"9","Imports",554,"New Zealand",76,"Brazil","160250",22878,82356,3.5997901914503,2014-04-01
"10","Imports",203,"Czech Rep.",76,"Brazil","160250",256,2842,11.1015625,2014-03-01
"11","Imports",442,"Luxembourg",76,"Brazil","160250",22,199,9.04545454545454,2014-03-01
"12","Imports",246,"Finland",76,"Brazil","160250",29640,254593,8.58950742240216,2014-04-01
"13","Imports",203,"Czech Rep.",76,"Brazil","160250",130,1417,10.9,2014-04-01
"14","Imports",842,"United States of America",76,"Brazil","160250",NA,13617533,NA,2014-04-01
"15","Exports",842,"United States of America",76,"Brazil","160250",NA,130800,NA,2014-04-01
"16","Re-exports",842,"United States of America",76,"Brazil","160250",NA,130800,NA,2014-04-01
"17","Imports",56,"Belgium",76,"Brazil","160250",314900,1857427,5.8984661797396,2014-03-01
"18","Imports",458,"Malaysia",76,"Brazil","160250",6835,5314,0.777468910021946,2014-04-01
"19","Imports",97,"EU-27",76,"Brazil","160250",3586800,19746036,5.50519571763131,2014-03-01
"20","Imports",826,"United Kingdom",76,"Brazil","160250",2161490,11123431,5.14618665827739,2014-04-01
"21","Exports",97,"EU-27",76,"Brazil","160250",NA,3760,NA,2014-03-01
"22","Imports",36,"Australia",76,"Brazil","160250",59160,290714,4.91402974983097,2014-04-01
"23","Imports",52,"Barbados",76,"Brazil","160250",105079,367285,3.49532256683067,2014-04-01
"24","Imports",68,"Bolivia",76,"Brazil","160250",29568,54342,1.83786525974026,2014-04-01
"25","Exports",251,"France",76,"Brazil","160250",25,3757,150.28,2014-03-01
"26","Imports",276,"Germany",76,"Brazil","160250",85000,554367,6.52196470588235,2014-03-01
"27","Imports",381,"Italy",76,"Brazil","160250",281156,2429876,8.64244760915648,2014-03-01
"28","Imports",56,"Belgium",76,"Brazil","160250",467300,2749795,5.88443184249947,2014-04-01
"29","Imports",470,"Malta",76,"Brazil","160250",66200,373725,5.64539274924471,2014-03-01
"30","Imports",528,"Netherlands",76,"Brazil","160250",190600,1057163,5.54650052465897,2014-03-01
"31","Imports",97,"EU-27",76,"Brazil","160250",4184900,23539949,5.62497287868288,2014-04-01
"32","Imports",591,"Panama",76,"Brazil","160250",9123,22096,2.42201030362819,2014-03-01
"33","Imports",608,"Philippines",76,"Brazil","160250",16744,3528,0.210702341137124,2014-03-01
