"","trade_flow","reporter_code","reporter","partner_code","partner","commodity_code","netweight_kg","trade_value_usd","price_kg_usd","period_date"
"1","Imports",643,"Russian Federation",724,"Spain","2001",75238,190650,2.53395890374545,2014-04-01
"2","Imports",643,"Russian Federation",724,"Spain","200110",47,132,2.80851063829787,2014-04-01
"3","Imports",643,"Russian Federation",724,"Spain","200190",75191,190518,2.53378728837228,2014-04-01
"4","Imports",705,"Slovenia",724,"Spain","2001",570,1064,1.86666666666667,2014-03-01
"5","Imports",498,"Rep. of Moldova",724,"Spain","2001",307,1692,5.5114006514658,2014-03-01
"6","Imports",498,"Rep. of Moldova",724,"Spain","200190",307,1692,5.5114006514658,2014-03-01
"7","Imports",620,"Portugal",724,"Spain","2001",274536,378293,1.37793586269196,2014-03-01
"8","Imports",620,"Portugal",724,"Spain","200110",16594,27014,1.62793780884657,2014-03-01
"9","Imports",620,"Portugal",724,"Spain","200190",257942,351279,1.3618526645525,2014-03-01
"10","Exports",604,"Peru",724,"Spain","2001",76708,192770,2.51303644991396,2014-04-01
"11","Exports",604,"Peru",724,"Spain","200190",76708,192770,2.51303644991396,2014-04-01
"12","Exports",620,"Portugal",724,"Spain","2001",5394,14751,2.73470522803115,2014-03-01
"13","Exports",620,"Portugal",724,"Spain","200190",5394,14751,2.73470522803115,2014-03-01
"14","Imports",191,"Croatia",724,"Spain","200190",2783,18873,6.78153072224218,2014-04-01
"15","Imports",826,"United Kingdom",724,"Spain","2001",491941,1150772,2.33924799925194,2014-03-01
"16","Imports",826,"United Kingdom",724,"Spain","200110",4572,9028,1.97462817147857,2014-03-01
"17","Imports",826,"United Kingdom",724,"Spain","200190",487369,1141744,2.34266849143052,2014-03-01
"18","Imports",381,"Italy",724,"Spain","2001",108514,268334,2.47280535230477,2014-04-01
"19","Imports",381,"Italy",724,"Spain","200110",26063,42543,1.63231400836435,2014-04-01
"20","Imports",381,"Italy",724,"Spain","200190",82451,225791,2.73848710142994,2014-04-01
"21","Imports",152,"Chile",724,"Spain","2001",31340,27661,0.882610082961072,2014-03-01
"22","Imports",152,"Chile",724,"Spain","200190",31340,27661,0.882610082961072,2014-03-01
"23","Exports",792,"Turkey",724,"Spain","2001",600606,732887,1.22024588498949,2014-03-01
"24","Exports",792,"Turkey",724,"Spain","200110",510682,513111,1.00475638459942,2014-03-01
"25","Exports",792,"Turkey",724,"Spain","200190",89924,219776,2.44401939415506,2014-03-01
"26","Exports",620,"Portugal",724,"Spain","2001",1420,5808,4.09014084507042,2014-04-01
"27","Exports",620,"Portugal",724,"Spain","200190",1420,5808,4.09014084507042,2014-04-01
"28","Imports",392,"Japan",724,"Spain","2001",18509,144842,7.82549030201524,2014-03-01
"29","Imports",620,"Portugal",724,"Spain","2001",175844,287160,1.63303837492323,2014-04-01
"30","Imports",620,"Portugal",724,"Spain","200110",16103,26937,1.67279388933739,2014-04-01
"31","Imports",620,"Portugal",724,"Spain","200190",159741,260223,1.62903074351607,2014-04-01
"32","Imports",458,"Malaysia",724,"Spain","2001",1655,8311,5.02175226586103,2015-02-01
"33","Imports",458,"Malaysia",724,"Spain","200110",724,5083,7.0207182320442,2015-02-01
"34","Imports",458,"Malaysia",724,"Spain","200190",931,3228,3.4672395273899,2015-02-01
"35","Imports",392,"Japan",724,"Spain","2001",18546,147615,7.95939825299256,2014-04-01
"36","Imports",392,"Japan",724,"Spain","200190",18546,147615,7.95939825299256,2014-04-01
"37","Imports",36,"Australia",724,"Spain","2001",23829,110345,4.6307020856939,2014-03-01
"38","Imports",36,"Australia",724,"Spain","200110",317,1517,4.78548895899054,2014-03-01
"39","Imports",36,"Australia",724,"Spain","200190",23512,108828,4.62861517522967,2014-03-01
"40","Imports",76,"Brazil",724,"Spain","2001",18802,66385,3.53074141048825,2014-04-01
"41","Imports",76,"Brazil",724,"Spain","200110",3593,6435,1.79098246590593,2014-04-01
"42","Imports",76,"Brazil",724,"Spain","200190",15209,59950,3.94174501939641,2014-04-01
"43","Imports",124,"Canada",724,"Spain","2001",25629,95948,3.74372780834211,2014-03-01
"44","Imports",124,"Canada",724,"Spain","200110",367,1471,4.00817438692098,2014-03-01
"45","Imports",124,"Canada",724,"Spain","200190",25262,94477,3.73988599477476,2014-03-01
"46","Imports",554,"New Zealand",724,"Spain","2001",14943,40499,2.7102322157532,2014-04-01
"47","Imports",554,"New Zealand",724,"Spain","200190",14943,40499,2.7102322157532,2014-04-01
"48","Imports",203,"Czech Rep.",724,"Spain","2001",29295,75323,2.57118962280253,2014-03-01
