node,period,deg_out_wei,tot_out_wei,ave_out_wei,max_out_wei,deg_in_wei,tot_in_wei,ave_in_wei,max_in_wei,ratio,degree_val,bet_val,tri_no,eigen_val,net_group,tot_in_wei_n,tot_out_wei_n,period_date,degree_net,overall_flux,month
Hungary,201401,22,2604122,118369.181818182,627786,45,4749510,105544.666666667,1042244,0.2917453579401308,37,3246,261,0.0174446129996344,1,0.958051998394376,0.5252929852053705,2014-01-01,-23,7353632,1
Ireland,201401,62,35646421,574942.274193548,10456083,100,11297306,112973.06,2042571,-0.5186872997962007,81,1751,426,0.25325179997651043,2,2.278846994694774,7.1904522518443486,2014-01-01,-38,46943727,1
Japan,201401,28,4835432,172694,2008154,0,0,0,0,-1,14,0,58,0.004955849381533704,3,0,0.9753838376380121,2014-01-01,28,4835432,1
Mexico,201401,98,34185480,348831.428571429,5886570,0,0,0,0,-1,49,0,348,0.11168593881650317,3,0,6.895757126539575,2014-01-01,98,34185480,1
Netherlands,201401,116,81361644,701393.482758621,9182421,52,28097384,540334.307692308,8591272,-0.486613676123636,84,1367,602,0.69388315850737,4,5.667690959878843,16.411942627102963,2014-01-01,64,109459028,1
Poland,201401,50,11540689,230813.78,1042244,42,5496544,130870.095238095,796346,-0.3547609520865272,46,1410,332,0.055761079422116507,1,1.1087406834521072,2.3279412316845303,2014-01-01,8,17037233,1
Romania,201401,26,962673,37025.8846153846,126995,32,3403752,106367.25,437782,0.5590566653497999,29,705,139,0.020421101671498382,3,0.6865911232187856,0.1941865142825911,2014-01-01,-6,4366425,1
Slovenia,201401,22,4740054,215457,1338323,52,3135688,60301.6923076923,656990,-0.20370982188090975,37,3054,277,0.027277758830155117,3,0.6325183344684534,0.9561445722184512,2014-01-01,-30,7875742,1
Sweden,201401,42,3580406,85247.7619047619,1268166,30,8345448,278181.6,1787166,0.3995556209224094,36,1226,250,0.08242903735655313,5,1.6834101062838795,0.7222250555032445,2014-01-01,12,11925854,1
Thailand,201401,30,1177188,39239.6,205370,0,0,0,0,-1,15,0,81,0.0040967608914097495,6,0,0.23745761476149724,2014-01-01,30,1177188,1
