node,period,deg_out_wei,tot_out_wei,ave_out_wei,max_out_wei,deg_in_wei,tot_in_wei,ave_in_wei,max_in_wei,ratio,degree_val,bet_val,tri_no,eigen_val,net_group,tot_in_wei_n,tot_out_wei_n,period_date,degree_net,overall_flux,month
South Africa,201401,4,11192,2798,5340,1,13944,13944,13944,0.109484404837683,5,49,0,1.270455350769497e-5,1,0.006086002636921904,0.004884863849141563,2014-01-01,3,25136,1
United States of America,201401,9,700300,77811.1111111111,640153,0,0,0,0,-1,9,0,2,1.1457670290344318e-4,2,0,0.30565315882360944,2014-01-01,9,700300,1
Venezuela,201401,1,9095,9095,9095,0,0,0,0,-1,1,0,0,7.510048480854025e-12,2,0,0.003969606567900511,2014-01-01,1,9095,1
Ecuador,201401,4,3916,979,3557,0,0,0,0,-1,4,0,1,4.576850130452342e-6,3,0,0.0017091785948211546,2014-01-01,4,3916,1
Germany,201401,23,8654678,376290.347826087,1900136,17,50438213,2966953.70588235,37359083,0.7070822613840301,40,724,163,0.7741098895734353,3,22.01427835051841,3.7774234889350256,2014-01-01,6,59092891,1
Greece,201401,18,7977762,443209,3485031,4,28255,7063.75,21852,-0.992941558830065,22,366,73,0.052708042520719554,3,0.012332186209568876,3.4819765181250264,2014-01-01,14,8006017,1
Italy,201401,24,819919,34163.2916666667,205457,8,2069946,258743.25,1742648,0.4325554999974047,32,843,96,0.04004958456642799,3,0.9034492838701914,0.3578621052827288,2014-01-01,16,2889865,1
Latvia,201401,4,295024,73756,196117,7,1024540,146362.857142857,803936,0.5528462431530414,11,0,29,0.01566074659062003,3,0.44717105146528746,0.12876626806907976,2014-01-01,-3,1319564,1
Morocco,201401,15,3231030,215402,1629430,0,0,0,0,-1,15,0,34,0.03558025420884653,3,0,1.4102163726315105,2014-01-01,15,3231030,1
Netherlands,201401,28,16792186,599720.928571429,7493435,10,24901591,2490159.1,24154497,0.19449916950436033,38,464,133,0.5686779401499189,3,10.868556260007944,7.329122796592304,2014-01-01,18,41693777,1
Spain,201401,36,134391311,3733091.97222222,37359083,11,1928932,175357.454545455,1629430,-0.9716999917613116,47,476,160,1,3,0.8419022689646474,58.656473976290286,2014-01-01,25,136320243,1
Turkey,201401,25,19487766,779510.64,12199143,0,0,0,0,-1,25,0,74,0.02113138031138446,3,0,8.505636493381887,2014-01-01,25,19487766,1
Australia,201401,4,17338,4334.5,8696,0,0,0,0,-1,4,0,4,6.212936329660296e-9,2,0,0.007567348947142282,2014-01-01,4,17338,1
China,201401,4,6066247,1516561.75,4956771,0,0,0,0,-1,4,0,2,0.006711292011570281,2,0,2.6476760784724322,2014-01-01,4,6066247,1
France,201401,18,1915232,106401.777777778,617608,20,12316675,615833.75,10242572,0.7308537780636144,38,1074,117,0.20494134920840507,3,5.375739854282136,0.8359227626446654,2014-01-01,-2,14231907,1
Japan,201401,2,30753,15376.5,26568,1,3762,3762,3762,-0.7820078226857888,3,1,1,1.4511953330987401e-8,2,0.001641963706260772,0.01342246407725612,2014-01-01,1,34515,1
