node,period,deg_out_wei,tot_out_wei,ave_out_wei,max_out_wei,deg_in_wei,tot_in_wei,ave_in_wei,max_in_wei,ratio,degree_val,bet_val,tri_no,eigen_val,net_group,tot_in_wei_n,tot_out_wei_n,period_date,degree_net,overall_flux,month
Belgium,201401,109,123477803,1132823.88073394,23185013,34,147095422,4326335.94117647,34106959,0.08728734707582393,46,573,207,0.8902953205725295,1,13.139004769357065,11.029408124793525,2014-01-01,75,270573225,1
Czech Rep.,201401,46,62068835,1349322.5,17703180,42,9011074,214549.380952381,2039664,-0.7464522921659903,25,82,88,0.21124827443614072,1,0.8048961867965506,5.544174713292143,2014-01-01,4,71079909,1
Germany,201401,186,243207758,1307568.59139785,41042909,60,183688549,3061475.81666667,20934616,-0.13942310585507126,71,1456,307,1,1,16.407612749411594,21.724047212744928,2014-01-01,126,426896307,1
Hungary,201401,39,37498954,961511.641025641,5293993,50,16084348,321686.96,4609965,-0.3996507344769458,33,676,150,0.0470429539893422,2,1.4367022590546616,3.3495191675775007,2014-01-01,-11,53583302,1
Italy,201401,92,7229846,78585.2826086956,1339845,69,236021353,3420599.31884058,41042909,0.9405565437726784,50,714,219,0.6665209375748593,1,21.08213593987383,0.645791553429291,2014-01-01,23,243251199,1
Netherlands,201401,68,99603695,1464760.22058824,34106959,29,47827499,1649224.10344828,10425804,-0.3511888806923723,33,282,123,0.5644398823874334,1,4.2720958200005725,8.896901112602855,2014-01-01,39,147431194,1
Poland,201401,91,22459985,246813.021978022,6337646,40,25435002,635875.05,7174772,0.06211541512684825,39,81,183,0.08704841195107026,1,2.271930751091672,2.0061932997118572,2014-01-01,51,47894987,1
United Kingdom,201401,76,82563059,1086356.03947368,32522016,49,43901493,895948.836734694,10676138,-0.30571069432958575,43,692,156,0.13796821702505052,1,3.9214131756520323,7.374780337988416,2014-01-01,27,126464552,1
Austria,201401,67,91385715,1363965.89552239,20934616,1,97883,97883,97883,-0.997860097282138,20,0,92,0.329293744291657,1,0.00874320346855511,8.162846463271341,2014-01-01,66,91483598,1
Bulgaria,201401,15,494061,32937.4,62679,38,1866993,49131.3947368421,321332,0.5814911475976408,17,0,52,0.002546444183330296,1,0.16676542068968167,0.044131012013095286,2014-01-01,-23,2361054,1
France,201401,173,113575817,656507.612716763,28955813,60,120672481,2011208.01666667,23185013,0.030295477322955833,71,653,247,0.6303683950964606,1,10.778828340348687,10.144933003058554,2014-01-01,113,234248298,1
United States of America,201401,52,8985121,172790.788461538,2791164,0,0,0,0,-1,17,0,7,8.348650750260105e-5,3,0,0.8025779869087314,2014-01-01,52,8985121,1
China,201401,15,3166983,211132.2,1562117,0,0,0,0,-1,7,0,3,1.3102786775593723e-4,4,0,0.28288443090684867,2014-01-01,15,3166983,1
Ireland,201401,15,21381749,1425449.93333333,10676138,26,65389315,2514973.65384615,32522016,0.5071686801028509,14,217,32,0.05670389128850934,1,5.8407699571370175,1.9098820226247126,2014-01-01,-11,86771064,1
Lesotho,201401,3,93321,31107,46661,0,0,0,0,-1,1,0,0,1.772337789125253e-8,4,0,0.008335711930458112,2014-01-01,3,93321,1
South Africa,201401,15,496405,33093.6666666667,214400,18,126951,7052.83333333333,46661,-0.592685399675306,12,56,6,4.0521644268202556e-5,4,0.011339644509634357,0.04434038513131084,2014-01-01,-3,623356,1
New Zealand,201401,42,11886671,283015.976190476,2125686,6,553928,92321.3333333333,275333,-0.9109483393846228,16,170,24,1.4539641582232306e-4,5,0.049478512212843856,1.0617531452527347,2014-01-01,36,12440599,1
Slovakia,201401,57,29106218,510635.403508772,5154785,41,18047395,440180.365853659,6414822,-0.23452758540474936,29,11,115,0.05896794447939842,1,1.6120475114410484,2.599854787594589,2014-01-01,16,47153613,1
Slovenia,201401,33,19710538,597289.03030303,8271701,37,8289339,224036.189189189,1422821,-0.40790175613985735,23,40,84,0.06517088755807646,1,0.7404286494777351,1.7606044380401837,2014-01-01,-4,27999877,1
Serbia,201401,16,2971366,185710.375,821303,12,1560262,130021.833333333,666122,-0.31139007879728875,10,165,15,1.0852753801990703e-4,2,0.13936728676332696,0.26541133309713355,2014-01-01,4,4531628,1
Spain,201401,50,46097295,921945.9,13315077,44,40635760,923540,10349425,-0.0629694757091169,33,797,118,0.17048733900869736,2,3.6297080982333294,4.117548803520613,2014-01-01,6,86733055,1
Denmark,201401,42,30444735,724874.642857143,9777710,71,12299157,173227.563380282,4058486,-0.4245186189409238,37,1315,172,0.14713035110181216,1,1.0985976333245187,2.7194151451349176,2014-01-01,-29,42743892,1
Estonia,201401,19,24784604,1304452.84210526,9190518,29,1971726,67990.5517241379,608888,-0.85261610990745,16,1820,52,0.0047966933957072945,1,0.17612048672640082,2.21383524881302,2014-01-01,-10,26756330,1
Finland,201401,22,9362531,425569.590909091,2427772,16,3648841,228052.5625,1093859,-0.43913047755455764,13,1068,30,0.007407740790084323,1,0.3259254343185854,0.8362893813395047,2014-01-01,6,13011372,1
Latvia,201401,26,25531066,981964.076923077,10278686,22,11474288,521558.545454545,3091399,-0.3798579524465568,15,503,32,0.017877495772806003,1,1.024917857450224,2.280511476018404,2014-01-01,4,37005354,1
Norway,201401,7,741655,105950.714285714,313955,6,12100,2016.66666666667,3026,-0.9678940769878807,5,0,6,0.0033596757052680466,1,0.0010808083320854166,0.06624685153163716,2014-01-01,1,753755,1
