node,period,deg_out_wei,tot_out_wei,ave_out_wei,max_out_wei,deg_in_wei,tot_in_wei,ave_in_wei,max_in_wei,ratio,degree_val,bet_val,tri_no,eigen_val,net_group,tot_in_wei_n,tot_out_wei_n,period_date,degree_net,overall_flux,month
Germany,201401,23,591483,25716.652173913,207090,6,2029945,338324.166666667,1944597,0.5487322177072954,29,123,64,0.5037393013857333,1,11.102178689321121,3.2349398420625803,2014-01-01,17,2621428,1
Canada,201401,39,10384184,266261.128205128,2571559,3,302826,100942,302158,-0.9433282087319091,42,312,93,1,1,1.6562164806299469,56.7931970131158,2014-01-01,36,10687010,1
China,201401,4,40698,10174.5,23641,0,0,0,0,-1,4,0,0,9.188920412017631e-5,2,0,0.2225855716770607,2014-01-01,4,40698,1
Czech Rep.,201401,4,1666,416.5,909,5,122498,24499.6,58996,0.9731645243387778,9,27,18,0.018348460931686527,1,0.6699662725268215,0.009111690068651607,2014-01-01,-1,124164,1
Denmark,201401,10,245175,24517.5,75942,8,416498,52062.25,409244,0.2589239699972645,18,139,41,0.11348748705331684,1,2.277911578759458,1.3409115321618594,2014-01-01,2,661673,1
Finland,201401,2,2056,1028,1311,4,72236,18059,36231,0.9446508372368492,6,11,7,0.01210968943353876,1,0.3950732555817032,0.011244678740184696,2014-01-01,-2,74292,1
France,201401,23,316266,13750.6956521739,122291,7,1376174,196596.285714286,1327261,0.6262603105575383,30,302,67,0.34062232039506,1,7.526573210406097,1.7297225517720103,2014-01-01,16,1692440,1
Latvia,201401,2,660,330,450,4,20059,5014.75,17908,0.9362903615039336,6,29,5,1.8364841273605306e-4,1,0.10970671733918523,0.0036096731364406126,2014-01-01,-2,20719,1
Poland,201401,1,111912,111912,111912,7,188e3,26857.1428571429,62005,0.25370108565179117,8,0,17,0.019961289666008245,1,1.0282099237133866,0.6120693030990028,2014-01-01,-6,299912,1
United States of America,201401,33,1044503,31651.6060606061,302158,0,0,0,0,-1,33,0,47,0.10377415375263095,2,0,5.712597606108529,2014-01-01,33,1044503,1
Italy,201401,5,2509,501.8,2116,7,396446,56635.1428571429,141166,0.9874221403416426,12,357,27,0.054643026530934946,1,2.168243145832326,0.013722227120196209,2014-01-01,-2,398955,1
