node,period,deg_out_wei,tot_out_wei,ave_out_wei,max_out_wei,deg_in_wei,tot_in_wei,ave_in_wei,max_in_wei,ratio,degree_val,bet_val,tri_no,eigen_val,net_group,tot_in_wei_n,tot_out_wei_n,period_date,degree_net,overall_flux,month
Latvia,201401,8,14730,1841.25,6719,5,1616,323.2,735,-0.8022757861250459,5,108,4,4.261813731659019e-5,1,0.005838913477519874,0.053222274457838954,2014-01-01,3,16346,1
Madagascar,201401,60,12345086,205751.433333333,2027075,0,0,0,0,-1,25,0,48,1,1,0,44.60512934810762,2014-01-01,60,12345086,1
China,201401,10,5228,522.8,1769,0,0,0,0,-1,5,0,1,3.275182778079153e-6,1,0,0.018889752265144742,2014-01-01,10,5228,1
Germany,201401,65,3260507,50161.6461538462,627921,19,2784075,146530.263157895,542590,-0.07881967686103025,36,202,92,0.14868908052342492,1,10.059389257380039,11.780828134806864,2014-01-01,46,6044582,1
Slovakia,201401,3,746,248.666666666667,373,2,288,144,144,-0.44294003868471954,2,19,0,8.595323744573906e-6,1,0.0010405984415381953,0.0026954390187065753,2014-01-01,1,1034,1
United Kingdom,201401,24,29990,1249.58333333333,11532,36,734036,20389.8888888889,79063,0.9214948182391699,27,1297,44,0.025720963980300365,1,2.652210825114343,0.10835953910323083,2014-01-01,-12,764026,1
Austria,201401,20,31880,1594,4736,0,0,0,0,-1,9,0,9,1.0861479027155822e-4,1,0,0.11518846637582524,2014-01-01,20,31880,1
Denmark,201401,14,5618,401.285714285714,1918,19,545823,28727.5263157895,209442,0.9796242934420908,15,508,28,0.020402144968695628,1,1.9721616776239668,0.020298895988061047,2014-01-01,-5,551441,1
France,201401,66,1984661,30070.6212121212,245552,32,5163843,161370.09375,1890179,0.4447338911749927,40,1230,95,0.680970366734224,1,18.657940896346943,7.17095535965846,2014-01-01,34,7148504,1
Comoros,201401,17,729996,42940.9411764706,347055,0,0,0,0,-1,7,0,11,0.018621010570940004,1,0,2.6376135414205435,2014-01-01,17,729996,1
Indonesia,201401,31,1428902,46093.6129032258,542590,4,2562400,640600,802400,0.2839920406924858,17,102,38,0.2287882850582686,1,9.258435578463445,5.162893035801425,2014-01-01,27,3991302,1
Norway,201401,2,8700,4350,4350,11,176960,16087.2727272727,83215,0.9062802973176775,6,120,3,0.027825599579291004,1,0.6393899313006912,0.03143474458813299,2014-01-01,-9,185660,1
Bulgaria,201401,4,2920,730,1334,2,9472,4736,4736,0.5287282117495158,3,0,1,2.9121177865544665e-6,1,0.03422412652170065,0.010550511976706704,2014-01-01,2,12392,1
Netherlands,201401,17,182155,10715,38493,12,1233965,102830.416666667,335922,0.7427407281868769,13,365,30,0.15361972641178373,1,4.4585488052523585,0.658160448327743,2014-01-01,5,1416120,1
"China, Hong Kong SAR",201401,2,16,8,8,2,54464,27232,27232,0.9994126284875183,2,0,1,0.006174849252514054,1,0.19678872749977872,5.7811024529899744e-5,2014-01-01,0,54480,1
India,201401,25,240896,9635.84,72578,4,715056,178764,341557,0.49600816777411416,13,3,19,0.12314245879286027,1,2.5836324972657496,0.8704027853221705,2014-01-01,21,955952,1
Estonia,201401,4,5872,1468,1512,7,16858,2408.28571428571,7924,0.4833260008798944,5,127,2,0.0026385498793565676,1,0.060911140720315615,0.021216646002473204,2014-01-01,-3,22730,1
South Africa,201401,7,54669,7809.85714285714,30197,6,1366,227.666666666667,638,-0.9512447577406978,7,126,6,0.0015663442481082539,1,0.0049356162192401905,0.19752943125156808,2014-01-01,1,56035,1
Greece,201401,4,786,196.5,355,11,57860,5260,27152,0.9731951028203117,7,71,6,0.006169301960230279,1,0.20905911745624994,0.002839966580031325,2014-01-01,-7,58646,1
New Zealand,201401,5,31306,6261.2,12322,10,38956,3895.6,11482,0.10887819874185192,7,326,4,4.4075303712163075e-4,2,0.1407553919741734,0.11311449587081508,2014-01-01,-5,70262,1
Papua New Guinea,201401,7,104216,14888,25645,0,0,0,0,-1,3,0,1,0.006436637859543306,1,0,0.376552108275502,2014-01-01,7,104216,1
French Polynesia,201401,13,1042152,80165.5384615385,332974,0,0,0,0,-1,6,0,6,0.08228539447231005,1,0,3.7654921772427548,2014-01-01,13,1042152,1
Australia,201401,10,93610,9361,35181,12,1405704,117142,627921,0.8751295592517645,10,342,10,0.04309523183991332,1,5.079074276611137,0.3382306253902447,2014-01-01,-2,1499314,1
Czech Rep.,201401,4,398,99.5,144,13,73138,5626,19945,0.9891753698868582,8,253,11,0.007590939347900594,1,0.264261419504238,0.001438049235181256,2014-01-01,-9,73536,1
United States of America,201401,41,627274,15299.3658536585,79591,0,0,0,0,-1,18,0,15,0.03353898299674999,2,0,2.2664595375605208,2014-01-01,41,627274,1
Nigeria,201401,2,16,8,8,0,0,0,0,-1,1,0,0,0,3,0,5.7811024529899744e-5,2014-01-01,2,16,1
Belgium,201401,8,8826,1103.25,2733,16,1474726,92170.375,585597,0.9881015293026466,9,48,19,0.20449076840026364,1,5.328463810055058,0.031890006406305946,2014-01-01,-8,1483552,1
Uganda,201401,10,384776,38477.6,113562,0,0,0,0,-1,4,0,2,0.006516507042307588,1,0,1.390268423407294,2014-01-01,10,384776,1
Ireland,201401,2,8734,4367,4367,9,49708,5523.11111111111,11532,0.7011053694260977,5,0,4,4.2587515234052527e-4,2,0.17960440045826603,0.031557593015259025,2014-01-01,-7,58442,1
Poland,201401,7,17262,2466,6927,17,250470,14733.5294117647,56505,0.8710501546322442,9,184,18,0.016008550225807074,1,0.9049954571252493,0.06237086908969559,2014-01-01,-10,267732,1
Spain,201401,7,66381,9483,31316,6,95870,15978.3333333333,27642,0.18174926502764235,6,41,7,0.006242623136711845,2,0.346396432605093,0.23984710120745467,2014-01-01,1,162251,1
Sweden,201401,9,62715,6968.33333333333,11869,2,88434,44217,58237,0.1701566004406248,6,0,8,0.001601459994312805,1,0.31952875895482213,0.2266011502120414,2014-01-01,7,151149,1
Turkey,201401,8,87602,10950.25,23037,2,5040,2520,2520,-0.8911940588501975,5,221,1,4.4983389458377713e-4,1,0.01821047272691842,0.31652258567926733,2014-01-01,6,92642,1
Lithuania,201401,2,1304,652,652,19,10410,547.894736842105,2971,0.7773604234249616,9,747,8,1.0888342233499652e-5,1,0.037613297834766024,0.004711598499186829,2014-01-01,-17,11714,1
Sri Lanka,201401,2,3716,1858,1858,0,0,0,0,-1,1,0,0,1.591297077256762e-5,1,0,0.013426610447069215,2014-01-01,2,3716,1
Malaysia,201401,4,8564,2141,4272,6,112698,18783,35181,0.8587521235011792,5,0,7,0.0022352251099085766,2,0.4071991776544151,0.030943350879628836,2014-01-01,-2,121262,1
Pitcairn,201401,2,2358,1179,1179,0,0,0,0,-1,1,0,0,1.7303240052405543e-7,2,0,0.008519899740093975,2014-01-01,2,2358,1
Russian Federation,201401,3,5e3,1666.66666666667,2500,5,34752,6950.4,10657,0.748440330046287,3,38,0,0.0024166633408898514,1,0.12556554527894223,0.01806594516559367,2014-01-01,-2,39752,1
Italy,201401,8,11158,1394.75,3394,18,981308,54517.1111111111,268156,0.9775145949584167,11,108,14,0.06627407045057668,1,3.545651303711679,0.04031596323153883,2014-01-01,-10,992466,1
Rep. of Korea,201401,2,40418,20209,20209,0,0,0,0,-1,1,0,0,0.004582382646231095,1,0,0.14603787434059298,2014-01-01,2,40418,1
Rep. of Moldova,201401,2,30950,15475,15475,0,0,0,0,-1,1,0,0,0.0035089500445556953,1,0,0.11182820057502482,2014-01-01,2,30950,1
Peru,201401,2,1906,953,953,2,5866,2933,2933,0.5095213587236233,2,353,1,7.138047309883858e-4,1,0.021194966868274493,0.006886738297124307,2014-01-01,0,7772,1
Hungary,201401,5,1024,204.8,423,10,48224,4822.4,18160,0.958414554905783,7,252,12,0.0043119901570175135,1,0.17424242793311784,0.0036999055699135836,2014-01-01,-5,49248,1
Mexico,201401,4,3868,967,1772,2,400,200,200,-0.8125585754451734,3,5,2,1.2368218710557722e-4,2,0.0014452756132474936,0.013975815180103263,2014-01-01,2,4268,1
