"","period","trade_value_usd","origin","destin","period_date"
"1",201401,1664,"South Africa","Zambia",2014-01-01
"2",201401,22607,"United States of America","Aruba",2014-01-01
"3",201401,9095,"Venezuela","Aruba",2014-01-01
"4",201401,24,"Ecuador","Poland",2014-01-01
"5",201401,1302025,"Germany","Poland",2014-01-01
"6",201401,406782,"Greece","Poland",2014-01-01
"7",201401,642,"Italy","Poland",2014-01-01
"8",201401,49,"Latvia","Poland",2014-01-01
"9",201401,11765,"Morocco","Poland",2014-01-01
"10",201401,95579,"Netherlands","Poland",2014-01-01
"11",201401,8060835,"Spain","Poland",2014-01-01
"12",201401,424140,"Turkey","Poland",2014-01-01
"13",201401,8696,"Australia","China, Hong Kong SAR",2014-01-01
"14",201401,162829,"China","China, Hong Kong SAR",2014-01-01
"15",201401,51,"France","China, Hong Kong SAR",2014-01-01
"16",201401,26568,"Japan","China, Hong Kong SAR",2014-01-01
"17",201401,18039,"Rep. of Korea","China, Hong Kong SAR",2014-01-01
"18",201401,3857,"Malaysia","China, Hong Kong SAR",2014-01-01
"19",201401,891,"Netherlands","China, Hong Kong SAR",2014-01-01
"20",201401,159,"New Zealand","China, Hong Kong SAR",2014-01-01
"21",201401,390,"Thailand","China, Hong Kong SAR",2014-01-01
"22",201401,31,"United States of America","China, Hong Kong SAR",2014-01-01
"23",201512,72560,"Belgium","Spain",2015-12-01
"24",201512,2752,"Czech Rep.","Spain",2015-12-01
"25",201512,2621,"France","Spain",2015-12-01
"26",201512,33860,"Germany","Spain",2015-12-01
"27",201512,26964,"Greece","Spain",2015-12-01
"28",201512,43715,"Italy","Spain",2015-12-01
"29",201512,65,"Latvia","Spain",2015-12-01
"30",201512,120,"Lithuania","Spain",2015-12-01
"31",201512,1179143,"Morocco","Spain",2015-12-01
"32",201512,8854,"Netherlands","Spain",2015-12-01
"33",201512,12726,"Poland","Spain",2015-12-01
"34",201512,3916,"Portugal","Spain",2015-12-01
"35",201512,2980,"Slovenia","Spain",2015-12-01
"36",201512,283,"Sweden","Spain",2015-12-01
"37",201512,7277,"United Kingdom","Spain",2015-12-01
"38",201401,2085,"Austria","Hungary",2014-01-01
"39",201401,159,"France","Hungary",2014-01-01
"40",201401,415408,"Germany","Hungary",2014-01-01
"41",201401,24330,"Italy","Hungary",2014-01-01
"42",201401,12842,"Slovakia","Hungary",2014-01-01
"43",201401,741086,"Spain","Hungary",2014-01-01
"44",201401,953,"Australia","Malaysia",2014-01-01
"45",201401,11285,"China","Malaysia",2014-01-01
"46",201401,1471,"Netherlands","Malaysia",2014-01-01
"47",201401,187071,"Thailand","Malaysia",2014-01-01
"48",201401,40,"United States of America","Malaysia",2014-01-01
"49",201401,3762,"Rep. of Korea","Japan",2014-01-01
"50",201401,7310,"Austria","Italy",2014-01-01
"51",201401,501,"Croatia","Italy",2014-01-01
"52",201401,37,"Slovenia","Italy",2014-01-01
"53",201401,1742648,"Spain","Italy",2014-01-01
"54",201401,759,"Indonesia","Malaysia",2014-01-01
"55",201401,887,"India","Malaysia",2014-01-01
