period,trade_flow,reporter_code,reporter,partner,partner_code,commodity_code,trade_value_usd
201405,Imports,642,Romania,World,0,70700,101278
201405,Imports,642,Romania,Belgium,56,70700,237
201405,Imports,642,Romania,Bulgaria,100,70700,120
201405,Imports,642,Romania,France,251,70700,48474
201405,Imports,642,Romania,Germany,276,70700,8875
201405,Imports,642,Romania,Hungary,348,70700,2847
201405,Imports,642,Romania,Italy,381,70700,12810
201405,Imports,642,Romania,Netherlands,528,70700,235
201405,Imports,642,Romania,Poland,616,70700,1983
201405,Imports,642,Romania,Spain,724,70700,12059
201405,Imports,642,Romania,TFYR of Macedonia,807,70700,13638
201501,Exports,504,Morocco,Spain,724,70700,822342
201501,Exports,504,Morocco,World,0,70700,1145218
201501,Exports,504,Morocco,France,251,70700,113751
201501,Exports,504,Morocco,Germany,276,70700,141997
201501,Exports,504,Morocco,Mali,466,70700,396
201501,Exports,504,Morocco,Mauritania,478,70700,39913
201501,Exports,504,Morocco,Netherlands,528,70700,8333
201501,Exports,504,Morocco,Russian Federation,643,70700,16253
201501,Exports,504,Morocco,Senegal,686,70700,2233
201501,Imports,690,Seychelles,World,0,70700,10611
201501,Imports,690,Seychelles,Australia,36,70700,247
201501,Imports,690,Seychelles,Sri Lanka,144,70700,55
201501,Imports,690,Seychelles,France,251,70700,2368
201501,Imports,690,Seychelles,Lebanon,422,70700,1186
201501,Imports,690,Seychelles,Oman,512,70700,35
201501,Imports,690,Seychelles,Netherlands,528,70700,2205
201501,Imports,690,Seychelles,New Zealand,554,70700,186
201501,Imports,690,Seychelles,South Africa,710,70700,1213
201501,Imports,690,Seychelles,United Arab Emirates,784,70700,3116
201501,Imports,196,Cyprus,World,0,70700,29450
201405,Re-imports,705,Slovenia,World,0,70700,60
201405,Re-imports,705,Slovenia,Slovenia,705,70700,60
201405,Imports,710,South Africa,World,0,70700,29
201405,Imports,710,South Africa,"Other Asia, nes",490,70700,29
201405,Exports,710,South Africa,World,0,70700,125285
201405,Exports,710,South Africa,Angola,24,70700,2828
201405,Exports,710,South Africa,Botswana,72,70700,47407
201405,Exports,710,South Africa,Dem.Rep. of the Congo,180,70700,249
201405,Exports,710,South Africa,Lesotho,426,70700,10357
201405,Exports,710,South Africa,Malawi,454,70700,778
201405,Exports,710,South Africa,Mozambique,508,70700,9185
201405,Exports,710,South Africa,Namibia,516,70700,39473
201405,Exports,710,South Africa,Saint Helena,654,70700,35
201405,Exports,710,South Africa,Zimbabwe,716,70700,5433
201405,Exports,710,South Africa,Swaziland,748,70700,9155
201405,Exports,710,South Africa,United Arab Emirates,784,70700,291
201405,Exports,710,South Africa,Uganda,800,70700,13
201405,Exports,710,South Africa,Zambia,894,70700,13
201405,Exports,710,South Africa,"Areas, nes",899,70700,67
201405,Exports,724,Spain,Lithuania,440,70700,70335
201405,Exports,724,Spain,Netherlands,528,70700,1188980
201405,Exports,724,Spain,"Other Africa, nes",577,70700,122
201405,Exports,724,Spain,Poland,616,70700,218447
201405,Exports,724,Spain,Portugal,620,70700,71205
201405,Exports,724,Spain,Romania,642,70700,42154
201405,Exports,724,Spain,Russian Federation,643,70700,57299
201405,Exports,724,Spain,Slovakia,703,70700,200091
201405,Exports,724,Spain,Slovenia,705,70700,46849
201405,Exports,724,Spain,Sweden,752,70700,8137
201405,Exports,724,Spain,Switzerland,757,70700,107468
201405,Exports,724,Spain,United Kingdom,826,70700,1296216
201405,Exports,724,Spain,United States of America,842,70700,265064
201501,Exports,348,Hungary,World,0,70700,1286
201501,Exports,348,Hungary,Austria,40,70700,1259
201501,Exports,348,Hungary,Romania,642,70700,4
201501,Exports,348,Hungary,Slovakia,703,70700,7
201501,Exports,348,Hungary,Slovenia,705,70700,16
201501,Imports,196,Cyprus,Greece,300,70700,29322
201501,Imports,196,Cyprus,Italy,381,70700,128
201501,Imports,132,Cabo Verde,World,0,70700,1215
201501,Imports,132,Cabo Verde,Spain,724,70700,1215
201501,Imports,31,Azerbaijan,World,0,70700,425103
201405,Imports,804,Ukraine,World,0,70700,6
201405,Imports,804,Ukraine,Poland,616,70700,6
201501,Imports,31,Azerbaijan,Iran,364,70700,425103
201405,Exports,818,Egypt,World,0,70700,5061
201405,Exports,804,Ukraine,World,0,70700,2290535
201405,Exports,804,Ukraine,Belarus,112,70700,58556
201405,Exports,804,Ukraine,Cambodia,116,70700,4
201405,Exports,804,Ukraine,China,156,70700,38
201405,Exports,804,Ukraine,Cyprus,196,70700,170
201405,Exports,804,Ukraine,Malta,470,70700,56
201405,Exports,804,Ukraine,Rep. of Moldova,498,70700,26
201405,Exports,804,Ukraine,Panama,591,70700,85
201405,Exports,804,Ukraine,Russian Federation,643,70700,2231460
201405,Exports,804,Ukraine,Singapore,702,70700,16
201405,Exports,804,Ukraine,Turkey,792,70700,6
201405,Exports,804,Ukraine,Turkmenistan,795,70700,3
201405,Exports,804,Ukraine,United Kingdom,826,70700,112
201405,Exports,818,Egypt,Saudi Arabia,682,70700,230
201405,Exports,818,Egypt,United Arab Emirates,784,70700,1527
201405,Exports,818,Egypt,United Kingdom,826,70700,1469
201405,Exports,818,Egypt,Bahrain,48,70700,109
201405,Exports,818,Egypt,Germany,276,70700,615
201405,Exports,818,Egypt,Kuwait,414,70700,105
201405,Exports,818,Egypt,Oman,512,70700,332
201405,Exports,818,Egypt,Netherlands,528,70700,673
201405,Imports,757,Switzerland,Portugal,620,70700,113
201501,Exports,76,Brazil,World,0,70700,531
201501,Exports,76,Brazil,Bolivia,68,70700,221
201501,Exports,76,Brazil,Equatorial Guinea,226,70700,310
201405,Imports,152,Chile,World,0,70700,2662
201405,Imports,152,Chile,Peru,604,70700,2662
201501,Imports,52,Barbados,World,0,70700,748
201501,Imports,52,Barbados,Trinidad and Tobago,780,70700,424
201501,Imports,52,Barbados,United Kingdom,826,70700,14
201501,Imports,52,Barbados,United States of America,842,70700,311
201501,Exports,52,Barbados,World,0,70700,356
201501,Exports,52,Barbados,Saint Lucia,662,70700,356
201405,Exports,480,Mauritius,World,0,70700,92
201405,Exports,480,Mauritius,France,251,70700,92
201405,Imports,428,Latvia,World,0,70700,234294
201405,Imports,428,Latvia,Estonia,233,70700,23476
201405,Imports,428,Latvia,Lithuania,440,70700,129145
201405,Imports,428,Latvia,Netherlands,528,70700,36870
201405,Imports,428,Latvia,Poland,616,70700,44577
201405,Imports,428,Latvia,Spain,724,70700,225
201405,Imports,757,Switzerland,World,0,70700,769038
201405,Imports,757,Switzerland,Belgium,56,70700,757
201405,Imports,757,Switzerland,France,251,70700,390
201405,Imports,757,Switzerland,Germany,276,70700,282
201405,Imports,757,Switzerland,Italy,381,70700,26240
201405,Imports,757,Switzerland,Netherlands,528,70700,274807
201501,Re-exports,52,Barbados,World,0,70700,356
201501,Re-exports,52,Barbados,Saint Lucia,662,70700,356
201405,Imports,300,Greece,World,0,70700,42191
201405,Imports,300,Greece,Austria,40,70700,38803
201405,Imports,300,Greece,Bulgaria,100,70700,497
201405,Imports,300,Greece,Germany,276,70700,1695
201405,Imports,300,Greece,Netherlands,528,70700,122
201405,Imports,28,Antigua and Barbuda,World,0,70700,3654
201405,Imports,28,Antigua and Barbuda,Dominica,212,70700,28
201405,Imports,28,Antigua and Barbuda,Mexico,484,70700,246
201405,Imports,28,Antigua and Barbuda,United States of America,842,70700,3380
201405,Imports,31,Azerbaijan,World,0,70700,95700
201405,Imports,31,Azerbaijan,Iran,364,70700,95700
201405,Exports,31,Azerbaijan,World,0,70700,49407
201405,Exports,31,Azerbaijan,Russian Federation,643,70700,49407
201405,Imports,757,Switzerland,Turkey,792,70700,28177
201405,Imports,757,Switzerland,Spain,724,70700,422257
201405,Imports,757,Switzerland,TFYR of Macedonia,807,70700,16015
201405,Exports,702,Singapore,World,0,70700,276
201501,Exports,792,Turkey,World,0,70700,9471618
201501,Exports,792,Turkey,Albania,8,70700,3517
201501,Exports,792,Turkey,Austria,40,70700,71571
201501,Exports,792,Turkey,Belgium,56,70700,21987
201501,Exports,792,Turkey,Bosnia Herzegovina,70,70700,5828
201501,Exports,792,Turkey,Bulgaria,100,70700,255751
201501,Exports,792,Turkey,Belarus,112,70700,322653
201501,Exports,792,Turkey,Denmark,208,70700,16049
201501,Exports,792,Turkey,France,251,70700,56515
201501,Imports,203,Czech Rep.,World,0,70700,3126549
201501,Imports,203,Czech Rep.,Austria,40,70700,24
201501,Imports,203,Czech Rep.,Cuba,192,70700,4320
201501,Imports,203,Czech Rep.,France,251,70700,1229
201501,Imports,203,Czech Rep.,Germany,276,70700,552658
201501,Imports,203,Czech Rep.,Greece,300,70700,664913
201501,Imports,203,Czech Rep.,Hungary,348,70700,75
201501,Imports,203,Czech Rep.,Italy,381,70700,3143
201501,Imports,203,Czech Rep.,Morocco,504,70700,2948
201501,Imports,203,Czech Rep.,Netherlands,528,70700,118017
201501,Imports,203,Czech Rep.,Poland,616,70700,120140
201501,Exports,792,Turkey,Georgia,268,70700,229176
201501,Exports,792,Turkey,Germany,276,70700,366248
201501,Exports,792,Turkey,Hungary,348,70700,656
201501,Exports,792,Turkey,Israel,376,70700,43200
201501,Exports,792,Turkey,Latvia,428,70700,3742
201501,Exports,792,Turkey,Rep. of Moldova,498,70700,199239
201501,Exports,792,Turkey,Montenegro,499,70700,1380
201501,Exports,792,Turkey,Netherlands,528,70700,108253
201501,Exports,792,Turkey,Norway,579,70700,26017
201501,Exports,792,Turkey,Poland,616,70700,11882
201501,Exports,792,Turkey,Romania,642,70700,191519
201501,Exports,792,Turkey,Russian Federation,643,70700,6152711
201501,Exports,792,Turkey,Serbia,688,70700,13234
201501,Exports,792,Turkey,Sweden,752,70700,38757
201501,Exports,792,Turkey,Switzerland,757,70700,31723
201501,Exports,792,Turkey,Ukraine,804,70700,1281522
